,lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
0,1017.9,13.795331537667618
1,1038.0,16.585329836697188
2,1058.1,12.555328135726757
3,1078.5,11.728626409368712
4,1096.4782,10.804312854125593
5,1098.6,10.695224325971903
6,1118.7,11.160219002242394
7,1138.8,10.953613678512887
8,1158.9,11.160208354783379
9,1179.3,13.485302951595221
10,1199.4,20.460297627865714
11,1219.5,38.3887923041362
12,1239.6,20.666986980406694
13,1258.92541,13.811749359349204
14,1259.7,13.536981876429639
15,1280.1,11.005182260754884
16,1300.2,10.953582639428285
17,1326.52,10.062883135283208
18,1345.73,9.976533497189479
19,1364.38,9.583563848545646
20,1383.02,10.022784199713419
21,1401.66,11.450084550881188
22,1420.87,9.62613491278746
23,1439.52,8.992735264143626
24,1445.43977,8.935055728276268
25,1458.16,8.811115576798402
26,1476.8,8.721505871529908
27,1495.45,8.961416166419532
28,1514.65,9.349766470005632
29,1533.3,11.350586764895258
30,1551.94,14.972587059626763
31,1570.59,9.709417354516388
32,1589.79,8.481667658102488
33,1608.44,8.278877952992113
34,1627.08,8.178598247723619
35,1645.73,8.058428542613242
36,1659.58691,7.938660158169464
37,1664.37,7.897319314021111
38,1683.58,7.291231532208272
39,1702.22,7.072073684577282
40,1720.86,7.1178058369462915
41,1739.51,7.075587990470006
42,1758.72,6.9237902086571665
43,1777.36,6.751002361026177
44,1796.0,6.667284513395187
45,1814.65,6.585716666918901
46,1833.86,6.503468885106062
47,1852.5,6.7338010374750725
48,1871.14,6.784923189844083
49,1889.79,7.416865343367797
50,1905.46072,8.205329677507928
51,1908.43,8.354726710917136
52,1927.64,6.852553851649207
53,1946.28,6.149261077221605
54,1964.93,5.804818301305578
55,1983.57,5.653435526877977
56,2002.78,5.6523626676100465
57,2021.42,5.485899893182445
58,2040.07,5.426867117266418
59,2058.71,5.467694342838816
60,2077.35,5.512381568411215
61,2096.56,5.3425187091432855
62,2115.21,5.181525933227257
63,2133.85,5.0471831587996565
64,2152.49,4.943000384372055
65,2171.7,4.922917525104125
66,2187.7616199999998,4.831273473098314
67,2190.35,4.816505441615569
68,2208.99,4.7541976536459405
69,2227.63,4.788269865676312
70,2246.84,4.653822145349242
71,2265.49,4.681204358566325
72,2284.13,4.739186570596695
73,2302.77,4.816348782627067
74,2321.42,4.9188209958441504
75,2340.62,4.81956327433037
76,2359.27,4.743425487547452
77,2377.91,4.679257699577824
78,2396.56,4.671139912794906
79,2415.76,4.733932191281125
80,2434.41,4.745544404498208
81,2453.05,4.635876616528579
82,2471.7,4.656628829745662
83,2490.34,4.592771041776033
84,2509.55,4.539293321448964
85,2511.88643,4.532788195443284
86,2528.19,4.487392849911395
87,2546.83,4.412391993797403
88,2565.48,4.323801137224122
89,2584.69,4.272080254930677
90,2603.33,4.233509398816685
91,2621.97,4.179368542702694
92,2640.62,4.032057686129413
93,2659.83,3.9249768038359685
94,2678.47,3.9320659477219766
95,2697.11,3.9750950916079844
96,2715.76,4.054504235034703
97,2734.4,4.189513378920711
98,2753.61,4.358682496627267
99,2772.25,4.579091640513275
100,2790.9,5.547340783939994
101,2809.54,5.255519927826001
102,2828.75,4.496999045532558
103,2847.39,4.173178189418565
104,2866.04,3.9497773328452848
105,2884.0315,3.8051012954110077
106,2884.68,3.7998865059066054
107,2903.32,3.67745648838604
108,2922.53,3.6667064703297054
109,2941.18,3.7093764527997406
110,2959.82,3.6573764352791747
111,2978.46,3.5838864177586087
112,2997.67,3.4370163997022747
113,3016.32,3.2746063821723093
114,3034.96,3.2421663646517436
115,3053.6,3.194646347131178
116,3072.81,3.207326329074844
117,3091.46,3.1557363115448784
118,3110.1,3.2014262940243126
119,3128.74,3.275656276503747
120,3147.39,3.2050062589737816
121,3166.59,3.224176240926847
122,3185.24,3.290816223396882
123,3203.88,3.235846205876316
124,3222.53,3.1687861883463504
125,3241.73,3.100966170299416
126,3260.38,3.095946152769451
127,3279.02,3.064596135248885
128,3297.67,3.00459611771892
129,3311.31121,2.9450841307982274
130,3316.31,2.923276015078089
131,3335.52,2.9135456699105364
132,3354.16,2.867495334984811
133,3372.8,2.8228150000590855
134,3391.45,2.803214664953679
135,3410.66,2.8219743197861265
136,3429.3,2.917403984860401
137,3447.94,2.7377736499346756
138,3466.59,2.707863314829269
139,3485.8,2.697052969661716
140,3504.44,2.6439126347359907
141,3523.08,2.5598422998102657
142,3541.73,2.495461964704859
143,3560.37,2.4723116297791337
144,3579.58,2.476521284611581
145,3598.22,2.4638509496858556
146,3616.87,2.421920614580449
147,3635.51,2.4160602796547237
148,3654.72,2.3881399344871705
149,3673.36,2.3396195995614453
150,3692.01,2.3194192644560387
151,3710.65,2.319188929530314
152,3729.29,2.7195785946045885
153,3748.5,2.246458249437036
154,3767.15,2.2216379143316294
155,3785.79,2.160837579405904
156,3801.8939600000003,2.097864240455769
157,3804.43,2.087947253974786
158,3823.64,2.0938569807270033
159,3842.29,2.0807667154447986
160,3860.93,2.1951764503048365
161,3879.57,2.1394161851648748
162,3898.78,2.0363559119170915
163,3917.43,1.9943556466348868
164,3936.07,1.9166653814949248
165,3954.71,1.9656551163549627
166,3973.36,1.991624851072758
167,3992.56,1.8783045779672178
168,4011.21,1.8611643126850133
169,4029.85,1.844264047545051
170,4048.5,1.8275937822628465
171,4067.7,1.8106535091573062
172,4086.35,1.7944332438751014
173,4104.99,1.7784329787351394
174,4123.64,1.7626427134529348
175,4142.28,1.7470624483129726
176,4161.49,1.7312321750651898
177,4180.13,1.716061909925228
178,4198.77,1.7011116447852657
179,4217.42,1.686341379503061
180,4236.63,1.6713211062552782
181,4255.27,1.6569508411153162
182,4273.91,1.642750575975354
183,4292.56,1.6287403106931495
184,4311.77,1.6145000374453666
185,4330.41,1.6008497723054045
186,4349.05,1.5873695071654423
187,4365.15832,1.5758818433986521
188,4367.7,1.5740692987158098
189,4386.34,1.5609294503707016
190,4405.55,1.5475596066631088
191,4424.19,1.5347497583180003
192,4442.84,1.5221099100542521
193,4461.48,1.5096100617091437
194,4480.69,1.496910218001551
195,4499.33,1.4847303696564427
196,4517.98,1.4726905213926942
197,4536.62,1.460810673047586
198,4555.83,1.448720829339993
199,4574.47,1.4371209809948848
200,4593.12,1.4256711327311362
201,4611.76,1.4143412843860281
202,4630.4,1.40316143604092
203,4649.61,1.3917715923333271
204,4668.26,1.3808617440695785
205,4686.9,1.3700718957244704
206,4705.54,1.3594120473793618
207,4724.75,1.3485522036717692
208,4743.4,1.3381523554080208
209,4762.04,1.3278625070629124
210,4780.68,1.3176926587178042
211,4799.33,1.3076328104540558
212,4818.53,1.297392966665103
213,4837.18,1.2875831184013546
214,4855.82,1.2778632700562462
215,4874.47,1.2682734217924978
216,4893.67,1.258483578003545
217,4912.32,1.249113729739797
218,4930.96,1.2398338813946883
219,4949.6,1.23065403304958
220,4968.81,1.2213141893419874
221,4987.46,1.2123443410782389
222,5006.1,1.2034844927331307
223,5011.87234,1.2007655941389033
224,5024.74,1.19470466542561
225,5043.39,1.186034847653109
226,5062.6,1.1771950353523188
227,5081.24,1.1687152174821087
228,5099.88,1.1603253996118987
229,5118.53,1.152015581839398
230,5137.74,1.1435557695386076
231,5156.38,1.1354359516683978
232,5175.02,1.127406133798188
233,5193.67,1.119456316025687
234,5212.31,1.111586498155477
235,5231.52,1.1035766858546867
236,5250.16,1.0958768679844768
237,5268.81,1.0882570502119762
238,5287.45,1.080717232341766
239,5306.66,1.0730374200409758
240,5325.3,1.0656576021707655
241,5343.95,1.058347784398265
242,5362.59,1.051127966528055
243,5381.8,1.0437581542272647
244,5400.44,1.0366783363570546
245,5419.09,1.0296685185845538
246,5437.73,1.022738700714344
247,5456.37,1.015868882844134
248,5475.58,1.0088690705433436
249,5494.23,1.0021492527708429
250,5512.87,0.9954904349006329
251,5531.51,0.9889006170304231
252,5550.72,0.9821758047296327
253,5569.37,0.9757189869571319
254,5588.01,0.969323169086922
255,5606.65,0.9629933512167119
256,5625.3,0.9567235334442111
257,5644.5,0.9503267210457117
258,5663.15,0.9441769032732109
259,5681.79,0.938093085403001
260,5700.44,0.9320612676305001
261,5719.64,0.9259194552320007
262,5738.29,0.9200076374594999
263,5754.399369999999,0.914950282349853
264,5756.93,0.9141558578403672
265,5775.58,0.9083553219670744
266,5794.78,0.9024437997811641
267,5813.43,0.896756263907871
268,5832.07,0.8911277277857165
269,5850.71,0.8855441916635619
270,5869.36,0.8800196557902689
271,5888.57,0.8743841338532202
272,5907.21,0.8689645977310657
273,5925.85,0.8635900616089112
274,5944.5,0.8582665257356181
275,5963.71,0.8528400037985694
276,5982.35,0.8476144676764148
277,6000.99,0.8424479315542605
278,6019.64,0.8373193956809674
279,6038.28,0.8322418595588128
280,6057.49,0.827053337621764
281,6076.13,0.8220668014996095
282,6094.78,0.8171312656263164
283,6113.42,0.812233729504162
284,6132.63,0.8072392075671133
285,6151.27,0.8024306714449587
286,6169.92,0.7976681355716657
287,6188.56,0.7929495994495112
288,6207.77,0.7881260775124624
289,6226.41,0.783489541390308
290,6245.06,0.7788970055170149
291,6263.7,0.7743424693948604
292,6282.34,0.7698249332727058
293,6301.55,0.7652184113356572
294,6320.2,0.7607828754623641
295,6338.84,0.7563843393402095
296,6357.48,0.7520308032180552
297,6376.69,0.7475802812810064
298,6395.33,0.7432957451588518
299,6413.98,0.7390512092855588
300,6432.62,0.7348426731634042
301,6451.27,0.7306701372901112
302,6470.47,0.7264086151042011
303,6489.12,0.722309079230908
304,6507.76,0.7182435431087535
305,6526.41,0.7142120072354604
306,6545.61,0.7100954850495501
307,6564.26,0.7061319491762571
308,6582.9,0.7022034130541027
309,6601.54,0.6983068769319482
310,6606.93448,0.6971893625384568
311,6620.75,0.6943270131583273
312,6639.4,0.6904960158292174
313,6658.04,0.6866970184986753
314,6676.68,0.6829290211681331
315,6695.33,0.6791930238390231
316,6714.54,0.6753760265901114
317,6733.18,0.6717020292595693
318,6751.82,0.6680570319290272
319,6770.47,0.6644420345999172
320,6789.68,0.6607490373510057
321,6808.32,0.6571930400204635
322,6826.96,0.6536670426899214
323,6845.61,0.6501690453608113
324,6864.25,0.6466990480302693
325,6883.46,0.6431530507813575
326,6902.1,0.6397390534508155
327,6920.75,0.6363530561217056
328,6939.39,0.6329940587911634
329,6958.6,0.6295610615422518
330,6977.24,0.6262550642117096
331,6995.89,0.6229750668825996
332,7014.53,0.6197220695520576
333,7033.74,0.6163960723031459
334,7052.38,0.6131940749726037
335,7071.03,0.6100170776434938
336,7089.67,0.6068650803129516
337,7108.31,0.6037370829824096
338,7127.52,0.6005400857334979
339,7146.17,0.5974610884043878
340,7164.81,0.5944070910738458
341,7183.45,0.5913750937433037
342,7202.66,0.5882760964943919
343,7221.3,0.5852920991638499
344,7239.95,0.5823301018347399
345,7258.59,0.5793911045041977
346,7277.24,0.5764741071750878
347,7296.44,0.5734911099247441
348,7315.09,0.570619112595634
349,7333.73,0.567769115265092
350,7352.38,0.5649401179359819
351,7371.58,0.5620471206856382
352,7390.23,0.5592601233565281
353,7408.87,0.556495126025986
354,7427.51,0.553751128695444
355,7446.72,0.5509441314465322
356,7465.37,0.5482411341174223
357,7484.01,0.5455571367868802
358,7502.65,0.5428931394563381
359,7521.3,0.5402491421272281
360,7540.51,0.5375441448783164
361,7559.15,0.5349391475477743
362,7577.79,0.5323531502172323
363,7585.77575,0.5312535585458682
364,7596.44,0.5297852593435846
365,7615.65,0.5271594538577533
366,7634.29,0.5246296426002888
367,7652.93,0.5221188313428243
368,7671.58,0.5196250201866164
369,7690.22,0.517149208929152
370,7709.43,0.5146174034433209
371,7728.07,0.5121785921858563
372,7746.72,0.5097557810296485
373,7765.36,0.507350969772184
374,7784.57,0.5048911642863527
375,7803.21,0.5025203530288882
376,7821.86,0.5001675418726804
377,7840.5,0.4978297306152159
378,7859.71,0.4954389251293847
379,7878.35,0.4931361138719202
380,7897.0,0.4908483027157124
381,7915.64,0.4885764914582479
382,7934.28,0.4863206802007834
383,7953.49,0.48401287471495213
384,7972.13,0.48178806345748765
385,7990.78,0.47957925230127985
386,8000.0,0.47849234565998033
387,8167.98,0.4593270465704476
388,8339.48,0.44112578312328204
389,8514.59,0.4236195562297943
390,8693.37,0.40678036649752464
391,8709.6359,0.4053373369285267
392,8875.9,0.39059035272351345
393,9062.27,0.37502175730096915
394,9252.55,0.36004927526522446
395,9446.83,0.3456539092262058
396,9645.19,0.3318156615038477
397,9847.71,0.3185095344180846
398,10000.0,0.30909036716457905
399,10054.5,0.3057195353389821
400,10265.6,0.2934246732575879
401,10481.1,0.2822269391100728
402,10701.2,0.27436533871161306
403,10925.9,0.26701287206220864
404,11155.3,0.2601435420694478
405,11389.6,0.25372835454850673
406,11481.5362,0.2514270472881235
407,11628.7,0.24774724781480992
408,11872.9,0.24217388811389112
409,12122.2,0.23698681328408336
410,12376.7,0.23216402891109467
411,12636.6,0.2276895461663412
412,12901.9,0.22354636504982292
413,13172.8,0.21971949673295602
414,13182.5674,0.21959503654133994
415,13449.4,0.2162020524112186
416,13731.8,0.21297534661210474
417,14020.1,0.2100261274836184
418,14314.5,0.20650941152306906
419,14615.1,0.20299520697911144
420,14922.0,0.1996325221004002
421,15135.6125,0.19743969947146464
422,15235.3,0.19642251738330818
423,15555.2,0.19336664756621036
424,15881.8,0.19044774390173977
425,16215.3,0.1876598352302733
426,16555.7,0.185000921551811
427,16903.3,0.18246404612691822
428,17258.3,0.18004623779597193
429,17378.0083,0.17928537948783668
430,17620.6,0.1777743902724312
431,17990.6,0.17562988594551607
432,18368.4,0.17359350017603356
433,18754.1,0.17166526012497635
434,19147.8,0.1697231929533372
435,19549.9,0.16770340730508704
436,19952.6231,0.16578985537396182
437,19960.4,0.16575477319414858
438,20379.5,0.1639713806524287
439,20807.4,0.16225449430405856
440,21244.3,0.1606032165625233
441,21690.4,0.15901664984130826
442,22145.8,0.15749184534715593
443,22610.8,0.15602795670029423
444,22908.6765,0.15514657954452143
445,23085.6,0.15469406578956754
446,23570.3,0.15354372039390465
447,24065.2,0.15245369019726024
448,24570.5,0.1514241578505954
449,25086.4,0.1504533060048713
450,25613.2,0.14954140863652965
451,26151.0,0.148687557071051
452,26302.679900000003,0.14824571255935243
453,26700.1,0.14722691072300303
454,27260.7,0.1453657928889667
455,27833.1,0.1434545751790088
456,28417.5,0.14150151013760526
457,29014.2,0.1395099765814699
458,29623.4,0.13748822705507868
459,30199.5172,0.1355916837997725
460,30245.4,0.1354488732173658
461,30880.5,0.13349578545897056
462,31528.9,0.13153087835372185
463,32190.9,0.1297125845479312
464,32866.8,0.12803633668791023
465,33556.9,0.12649656741997045
466,34261.5,0.1250887093904235
467,34673.685,0.12435503032065434
468,34980.9,0.12379211449498265
469,35715.4,0.12259593047940336
470,36465.3,0.12151914954913391
471,37231.0,0.12055762762846807
472,38012.7,0.1197075426795527
473,38810.9,0.11896578960775506
474,39625.8,0.11832934637522195
475,39810.7171,0.11821079996324099
476,40457.8,0.11759006716600356
477,41307.3,0.116886100535472
478,42174.7,0.11627431573815233
479,43060.2,0.11575202709620332
480,43964.4,0.11531717757610135
481,44887.5,0.1149676815000052
482,45708.818999999996,0.11473578909385884
483,45830.0,0.11465654004551804
484,46792.3,0.11411463050926568
485,47774.8,0.11364516056292054
486,48777.9,0.11324661019836191
487,49802.1,0.11243392940543906
488,50847.8,0.11163999817603129
489,51915.5,0.1108848664999878
490,52480.746,0.11051362617513127
491,53005.6,0.10993444585012863
492,54118.5,0.10876048639698016
493,55254.9,0.1076151782897307
494,56415.1,0.10649869750300878
495,57599.6,0.10541097066119516
496,58809.1,0.10435147503842307
497,60043.9,0.10332048660932097
498,60255.9586,0.10315185413776921
499,61304.6,0.10204468676226017
