,lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
0,1006.79,30.739420799269055
1,1018.44,29.059522276028886
2,1030.23,29.220051822037334
3,1042.16,30.454889437294398
4,1054.24,29.612415698174978
5,1066.44,28.915118875554374
6,1078.79,28.240900698557287
7,1091.28,28.414070590808812
8,1096.4782,28.120782939509922
9,1103.92,27.745342282831782
10,1116.69,27.018194837065327
11,1129.63,27.082812217784358
12,1142.71,26.547833573256145
13,1155.95,26.220579471302507
14,1169.32,24.72380906019072
15,1182.87,25.195863759475333
16,1196.57,23.93045271742361
17,1210.42,22.122555934035553
18,1224.43,23.635983693222077
19,1238.62,23.720176562805005
20,1252.96,23.27763369105159
21,1258.92541,23.246837191925355
22,1267.47,23.26889493273064
23,1282.15,22.976683603000975
24,1296.99,22.1868358555086
25,1312.01,22.452517138033155
26,1327.2,21.785569726684827
27,1342.56,21.5644136214636
28,1358.12,21.127241994038975
29,1373.84,20.63965394885163
30,1389.75,19.49003265757105
31,1405.84,19.586990396307417
32,1422.12,19.289204888950547
33,1438.58,19.105208411610615
34,1445.43977,18.944181061358684
35,1455.25,18.770857349334996
36,1472.09,18.53707603358059
37,1489.14,18.285036286929007
38,1506.39,17.801292320375353
39,1523.82,17.26251255590984
40,1541.48,16.57720593855694
41,1559.32,16.654253523292176
42,1577.38,16.524458466135137
43,1595.64,16.100249189076024
44,1614.12,15.752657270124635
45,1632.81,15.49034692027607
46,1651.72,15.202493928535224
47,1659.58691,15.117999435702774
48,1670.85,15.042319102198721
49,1690.19,14.80361447865812
50,1709.76,14.446107871486994
51,1729.56,14.334339280685345
52,1749.59,14.11389870625317
53,1769.85,13.83983614819047
54,1790.35,13.53706760720896
55,1811.07,13.347191081885217
56,1832.04,13.04055457435438
57,1853.26,12.715368084616445
58,1874.72,12.449555611959708
59,1896.43,12.131603157095876
60,1905.46072,11.981900287783258
61,1918.39,11.80004263649559
62,1940.6,11.701600683323411
63,1963.08,11.422328854988846
64,1985.8,11.186123804287723
65,2008.8,11.018029994158944
66,2032.06,10.782915193133054
67,2055.59,10.464040516944785
68,2079.39,10.36890596559414
69,2103.47,10.123562654815833
70,2127.83,9.926980584609874
71,2152.46,9.726748639241531
72,2177.39,9.48924016591499
73,2187.7616199999998,9.408193433290032
74,2202.61,9.325247298001576
75,2228.11,9.19265723932073
76,2253.91,9.081566074067172
77,2280.01,8.962227802240891
78,2306.41,8.860132423841899
79,2333.12,8.721654335317766
80,2360.13,8.609778140220916
81,2387.46,8.459175631446504
82,2415.1,8.353598412546953
83,2443.08,8.26886167286499
84,2471.36,8.122436826610308
85,2499.98,8.006147459573217
86,2511.88643,7.947632277337776
87,2528.93,7.884117854591238
88,2558.21,7.809677152437187
89,2587.83,7.696835847867414
90,2617.8,7.597759217281453
91,2648.11,7.50759198427977
92,2678.78,7.38352470166144
