,lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
0,1000.46,0.1925711131927146
1,1012.05,0.5893885804961659
2,1023.76,0.7291517420253649
3,1035.62,0.8920145213367483
4,1047.61,0.5427279693926915
5,1059.74,0.8045390607120069
6,1072.01,1.3234727952946945
7,1084.43,1.2128911476595665
8,1096.4782,1.2398944961799374
9,1096.98,1.2410164454845012
10,1109.69,1.1556750813222723
11,1122.54,1.45721260063898
12,1135.53,1.417479003434625
13,1148.68,1.2929541302061975
14,1161.98,1.608188060705203
15,1175.44,1.5464707151801358
16,1189.05,1.6378221733825014
17,1202.82,1.0980223555607946
18,1216.75,1.5676212617150158
19,1230.84,1.1079388918451647
20,1245.09,0.6141662459512417
21,1258.92541,1.5600726936101774
22,1259.51,1.6000452380937007
23,1274.09,1.8157435088500806
24,1288.84,1.845221876041892
25,1303.77,2.070070345341806
26,1318.86,2.0940189054044795
27,1334.14,1.8838275732479286
28,1349.58,2.233316331854136
29,1365.21,2.00912519824112
30,1381.02,2.142774166736207
31,1397.01,2.089243237339397
32,1413.19,1.9953524157233635
33,1429.55,1.5818516962154336
34,1445.43977,1.8551148585483856
35,1446.11,1.8666410290589857
36,1462.85,1.8495589989993224
37,1479.79,1.9680370641599734
38,1496.92,1.9410852197799235
39,1514.26,1.959023475381204
40,1531.79,1.9366418214417833
41,1549.53,1.803400267483693
42,1567.47,1.5965288087459177
43,1585.62,1.3876774499894724
44,1603.98,1.6039061912143575
45,1622.56,1.6949050371815888
46,1641.35,1.5424639831301505
47,1659.58691,1.5188414697411667
48,1660.35,1.517855318924549
49,1679.58,1.524922179339466
50,1699.03,1.490329804668126
51,1718.7,1.5712881949105293
52,1738.6,1.5076973848354822
53,1758.73,1.3753373744429849
54,1779.1,1.4601081985018438
55,1799.7,1.4601698222432524
56,1820.54,1.4043122804360173
57,1841.62,1.3661955730801383
58,1862.94,1.3413897001756154
59,1884.52,1.235034731260062
60,1905.46072,1.1741376064820093
61,1906.34,1.1715735989417957
62,1928.41,1.0960246869876036
63,1950.74,1.0277146097815721
64,1973.33,0.9439463673237017
65,1996.18,0.9481839596139922
66,2019.3,0.885004341835065
67,2042.68,0.7835745588042987
68,2066.33,0.783467565704315
69,2090.26,0.721255317717735
70,2114.46,0.6474438596619376
71,2138.95,0.6488221019021657
72,2163.71,0.6097501340731762
73,2187.7616199999998,0.5732481897646474
74,2188.77,0.5717259442175803
75,2214.11,0.5550214905260066
76,2239.75,0.5425321088112492
77,2265.69,0.5230897990733083
78,2291.92,0.5390015255796232
79,2318.46,0.5541223597953151
80,2345.31,0.5762303017203839
81,2372.47,0.6061223513548296
82,2399.94,0.6132045086986524
83,2427.73,0.6450108094844127
84,2455.84,0.6525432537121104
85,2484.28,0.6848138771143062
86,2511.88643,0.7349333381511244
87,2513.04,0.7370219266345459
88,2542.14,0.7336116829591882
89,2571.58,0.7471489690828125
90,2601.36,0.7539867850054189
91,2631.48,0.8020981307270074
92,2661.95,0.7929099924181362
93,2692.77,0.8112653700788055
94,2723.96,0.8262422360501317
95,2755.5,0.8167776179909982
96,2787.4,0.7909215020719634
97,2819.68,0.789064860634144
98,2852.33,0.8017947075069815
99,2884.0315,0.8397350793630365
100,2885.36,0.8413268285028066
101,2918.77,0.8017498829241633
102,2952.57,0.8184739263076368
103,2986.76,0.8413219586532275
104,3021.34,0.8260179799609351
105,3056.33,0.8260169896647144
106,3091.72,0.7925989880475881
107,3127.52,0.7999039748265335
108,3163.73,0.7999029500015506
109,3200.37,0.8222319130065943
110,3237.43,0.8091318641246869
111,3274.91,0.8298108033558287
112,3311.31121,0.8298097731191699
113,3312.84,0.8298089459975123
114,3351.2,0.8259881920765801
115,3390.0,0.8146742001023316
116,3429.26,0.8146529592541617
117,3468.97,0.8109014749423729
118,3509.13,0.8053167471669652
119,3549.77,0.7870267596970307
120,3590.87,0.7816075233531748
121,3632.45,0.786982027314792
122,3674.51,0.7430892715818825
123,3717.06,0.7620582507441435
124,3760.1,0.7345679648015752
125,3801.8939600000003,0.859295765135701
126,3803.65,0.8645366008921338
127,3847.69,0.8526917385528272
128,3892.24,0.8764886577804359
129,3937.31,0.9990333542919585
130,3982.91,0.8275648238043931
131,4029.03,1.0151810706007416
132,4075.68,1.0198510903980018
133,4122.87,1.1518608789131726
134,4170.61,1.1128204318632522
135,4218.91,1.090029744965239
136,4267.76,1.1102188225021343
137,4317.18,1.120447655907935
138,4365.15832,1.1008480364114446
139,4367.17,1.1000275996055755
140,4417.74,1.0603299882112474
141,4468.89,1.1102025189049416
142,4520.64,1.097535196586245
143,4572.99,1.0825280212551578
144,4625.94,1.1279809929116797
145,4679.51,1.1246341164553981
146,4733.69,1.1264673894365194
147,4788.51,1.1054508192044237
148,4843.95,1.0928344008595245
149,4900.04,1.093868141751202
150,4956.78,1.045472041879456
151,5011.87234,1.0747113528772316
152,5014.18,1.0759362172963851
153,5072.24,1.2180732989956389
154,5130.98,1.323150580756131
155,5190.39,1.0300480596357842
156,5250.49,1.0117857415187526
157,5311.29,0.9710476293471135
158,5372.79,1.0085617231208668
159,5435.01,1.0324800287241662
160,5497.94,1.002818543214935
161,5561.6,0.9987122724773274
162,5626.0,0.9948392194534202
163,5691.15,0.9930333870852903
164,5754.399369999999,0.9692802141083423
165,5757.05,0.9682859817500503
166,5823.71,0.9678879324977483
167,5891.15,0.9595354677276423
168,5959.37,0.9699925874397328
169,6028.37,0.8595332916340195
170,6098.18,0.925088602790587
171,6168.79,0.9245035134160738
172,6240.22,0.9184210384972028
173,6312.48,0.8750701855273355
174,6385.57,0.870517954506472
175,6459.52,0.8798103679146967
176,6534.31,0.8900164107652866
177,6606.93448,0.8774289695343126
178,6609.98,0.8768988440462666
179,6686.52,0.8746901740999519
180,6763.94,0.8678955079483489
181,6842.27,0.8521168457208229
182,6921.5,0.8462781873742522
183,7001.64,0.8482185329517584
184,7082.72,0.8433728825827069
185,7164.73,0.8385482362239758
186,7247.7,0.8347135940049304
187,7331.62,0.8109399558824488
188,7416.52,0.8064913219858965
189,7502.4,0.8214236923152729
190,7585.77575,0.8239569009796547
191,7589.27,0.8240641172069334
192,7677.15,0.8405039109189906
193,7766.05,0.8361110156186025
194,7855.97,0.815873431305769
195,7946.94,0.8185261671271827
196,8038.96,0.815368223082844
197,8132.05,0.7905506052705478
198,8226.21,0.8165463136902942
199,8321.47,0.8160143574887758
200,8417.83,0.794269736665993
201,8515.3,0.795210454270843
202,8613.9,0.7976135164011211
203,8709.6359,0.7743224957908751
204,8713.65,0.7733482103359115
205,8814.55,0.7890073143847783
206,8916.61,0.8342814313245932
207,9019.86,0.8237335873508123
208,9124.31,0.8340817911952535
209,9229.96,0.7693810428579173
210,9336.84,0.821747368534259
211,9444.96,0.7604617769560972
212,9554.33,0.7650972768552503
213,9664.96,0.737511876963537
214,9776.81,0.7682835423536831
215,9890.02,0.794490395271148
216,10000.0,0.7878049042263252
217,10004.5,0.7875313675222416
218,10120.4,0.8062318369680523
219,10237.6,0.8063214445525995
220,10356.2,0.8045842778250166
221,10476.1,0.8010142492361702
222,10597.4,0.7974664463351937
223,10720.1,0.7984838691220875
224,10844.3,0.7886166051459845
225,10969.8,0.7977914793086183
226,11096.9,0.794081754257389
227,11225.4,0.7817702548940298
228,11355.3,0.7730039812185407
229,11481.5362,0.7758312181384281
230,11486.8,0.7759533530424387
231,11619.8,0.7733470442093183
232,11754.4,0.7695224263977544
233,11890.5,0.7563433314188996
234,12028.2,0.7565759274616013
235,12167.5,0.7557762145258594
236,12308.4,0.7518881926116739
237,12450.9,0.747002861719045
238,12595.1,0.7421583900368196
239,12740.9,0.7331656093761508
240,12888.4,0.7193626879258856
241,13037.7,0.7286727938748716
242,13182.5674,0.7265346287844165
243,13188.6,0.7264504279553226
244,13341.4,0.7268309398910239
245,13495.8,0.7255624257736958
246,13652.1,0.7243046307183953
247,13810.2,0.719783306353437
248,13970.1,0.7104484526788207
249,14131.9,0.718948318066232
250,14295.5,0.7161046541439855
251,14461.1,0.7132789576554524
252,14628.5,0.6993167318572612
253,14797.9,0.7092904734927833
254,14969.2,0.6923029341903332
255,15135.6125,0.7101972458457367
256,15142.6,0.7109615954522026
257,15317.9,0.7387167481890923
258,15495.3,0.7353300191276219
259,15674.7,0.7461229740677133
260,15856.2,0.7596930472094445
261,16039.8,0.7402512385528156
262,16225.6,0.7763249822979047
263,16413.5,0.7693338442446337
264,16603.5,0.7510638243930026
265,16795.8,0.7532477911431673
266,16990.3,0.7798183102950501
267,17187.0,0.769931381848651
268,17378.0083,0.7812450800409297
269,17386.0,0.781749098791662
270,17587.3,0.7714493965046394
271,17791.0,0.7703703222082336
272,17997.0,0.7610080580695022
273,18205.4,0.7378534219213876
274,18416.2,0.7356734137638896
275,18629.4,0.7442570335970083
276,18845.2,0.7173309170866287
277,19063.4,0.7249524285668656
278,19284.1,0.7254913858706616
279,19507.4,0.724319606830959
280,19733.3,0.712154091447758
281,19952.6231,0.7025141916544095
282,19961.8,0.7021772833410054
283,20193.0,0.7147310732571516
284,20426.8,0.715276951641213
285,20663.3,0.71739746035734
286,20902.6,0.7188021412696833
287,21144.6,0.7239944525140926
288,21389.5,0.7277694778188686
289,21637.1,0.7297651334557103
290,21887.7,0.7351470450170695
291,22141.1,0.7313421287746449
292,22397.5,0.7308014684567379
293,22656.9,0.7432160640633484
294,22908.6765,0.7343096356354707
295,22919.2,0.7340644974022625
296,23184.6,0.749864631610612
297,23453.1,0.7570980115463385
298,23724.7,0.7365186372094423
299,23999.4,0.734381508599923
300,24277.3,0.7430113755799543
301,24558.4,0.7513082381495362
302,24842.8,0.7581378461708421
303,25130.4,0.7490194497816985
304,25421.4,0.7566105487064525
305,25715.8,0.7669081429451038
306,26013.6,0.7837182324976526
307,26302.679900000003,0.7985614918822274
308,26314.8,0.799311353145894
309,26619.5,0.8154474399612872
310,26927.7,0.8306006012888362
311,27239.6,0.8464894413863784
312,27555.0,0.8639933559960766
313,27874.0,0.8824201472468494
314,28196.8,0.897494419396534
315,28523.3,0.9136133703162119
316,28853.6,0.9290038021348019
317,29187.7,0.9448497148523041
318,29525.7,0.9596529105976368
319,29867.6,0.9752163893708004
320,30199.5172,0.989579402437466
321,30213.4,0.990255157154839
322,30563.3,1.0071162457398137
323,30917.2,1.024006030679004
324,31275.2,1.0409218543812646
325,31637.3,1.0577147168465957
326,32003.7,1.0750043028927083
327,32374.3,1.0915552701107467
328,32749.2,1.1084469609095666
329,33128.4,1.124760375289168
330,33512.0,1.1403468556584058
331,33900.0,1.1558184020172804
332,34292.6,1.1719486991835022
333,34673.685,1.1870353903951094
334,34689.7,1.1876441635595207
335,35091.3,1.2026273170868698
336,35497.7,1.2175133409751029
337,35908.7,1.2322968656258506
338,36324.5,1.247140260637483
339,36745.1,1.2620435260100002
340,37170.6,1.277164846542587
341,37601.1,1.2920614070344287
342,38036.5,1.3071780226863403
343,38476.9,1.3222248782975066
344,38922.4,1.338087158667113
345,39373.1,1.354034048594344
346,39810.7171,1.3692870047888568
347,39829.1,1.3697516029820447
348,40290.2,1.3815988293616868
349,40756.8,1.3930675231997722
350,41228.7,1.4055792311341748
351,41706.1,1.4179994065270205
352,42189.1,1.4308952760593718
353,42677.6,1.443560613050166
354,43171.8,1.4569828708615282
355,43671.7,1.4707400494934588
356,44177.4,1.4820603756270199
357,44688.9,1.495395849262212
358,45206.4,1.5089409237611595
359,45708.818999999996,1.5230572904604034
360,45729.9,1.5234137022341978
361,46259.4,1.5332128609103606
362,46795.1,1.5436876956654515
363,47336.9,1.5544290988207776
364,47885.1,1.5658483934124159
365,48439.5,1.577397364082982
366,49000.4,1.589083333868553
367,49567.8,1.601585302769129
368,50141.8,1.610168378463402
369,50722.4,1.6157055609513722
370,51309.8,1.621460065590424
371,51903.9,1.6273027847018662
372,52480.746,1.6394608449317243
373,52504.9,1.6396450303959964
374,53112.9,1.6453243126795711
375,53727.9,1.6510579732131219
376,54350.1,1.6567185370895037
377,54979.4,1.6621722417622893
378,55616.0,1.6672886123243353
379,56260.0,1.672461411322069
380,56911.5,1.6771664013019196
381,57570.5,1.6816685822638866
382,58237.1,1.6857047167543984
383,58911.5,1.689409329866311
384,59593.7,1.692659421599625
385,60255.9586,1.6948511811737046
386,60283.7,1.6947253146333354
387,60981.8,1.6930208982228194
388,61687.9,1.6936397122502291
389,62402.2,1.6997087124765125
390,63124.8,1.6987668767821438
391,63855.7,1.6891692051671228
392,64595.2,1.6784726312728717
393,65343.1,1.6677231993384427
394,66099.8,1.6563268208857318
395,66865.2,1.644223518034265
396,67000.0,1.6419629367696795
397,67639.4,1.6295987521280286
398,68422.7,1.6176205422695484
399,69215.0,1.6061412361660456
400,69242.2916,1.605722167375279
401,70016.4,1.5887235513078526
402,70827.2,1.5714613533584691
403,71559.6261,1.555211920418754
404,71647.3,1.5527411004587195
405,72477.0,1.5297273689892896
406,73316.2,1.507788447994779
407,73954.515,1.491319524750097
