,lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
0,1967.87,8.546717528393284
1,1990.66,8.403767360096472
2,2013.71,8.259398447492636
3,2037.03,8.123504642723807
4,2060.61,7.97970169364795
5,2084.47,7.834276104549143
6,2108.61,7.693617675427377
7,2133.03,7.548126206282658
8,2157.73,7.403443097114991
9,2182.71,7.259836747924368
10,2187.7616199999998,7.230798228745588
11,2207.99,7.153087245594058
12,2233.55,7.059564479335742
13,2259.42,6.963777399284778
14,2285.58,6.862322167621338
15,2312.05,6.765577122165248
16,2338.82,6.662759144006597
17,2365.9,6.573527052055297
18,2393.3,6.478602865221266
19,2421.01,6.374721364594587
20,2449.04,6.275141669085174
21,2477.4,6.168423897602942
22,2506.09,6.078054050147891
23,2511.88643,6.056419519645652
24,2535.11,5.993349891701696
25,2564.46,5.916408966387471
26,2594.16,5.864790023224523
27,2624.2,5.776542777008532
28,2654.58,5.682230227739496
29,2685.32,5.586431945826061
30,2716.42,5.517792931268228
31,2747.87,5.435488898861672
32,2779.69,5.346123419015039
33,2811.88,5.267935491728329
34,2844.44,5.210524117001541
35,2877.38,5.107691580038999
36,2884.0315,5.089920436530923
37,2910.69,5.041965831244485
38,2944.4,4.967620753161659
39,2978.49,4.911494215284366
40,3012.98,4.852149246044476
41,3047.87,4.788443845441991
42,3083.16,4.727485013476907
43,3118.86,4.6757977643651625
44,3154.98,4.596463112322692
45,3191.51,4.558579043133558
46,3228.47,4.484908585229636
47,3265.85,4.409405724394985
48,3303.67,4.330037489061479
49,3311.31121,4.317206923781896
50,3341.92,4.284547090642856
51,3380.62,4.2179231162943385
52,3419.77,4.169848235267349
53,3459.37,4.135163447561889
54,3499.42,4.026583753177958
55,3539.95,4.014306558336991
56,3580.94,3.9448405922246974
57,3622.4,3.8960749902482235
58,3664.35,3.8447130232218587
59,3706.78,3.8209735557384574
60,3749.7,3.7855817232051656
61,3793.12,3.709743661029129
62,3801.8939600000003,3.716779551529896
63,3837.04,3.760115441166603
64,3881.47,3.687952604444564
65,3926.42,3.925425989980109
66,3971.88,3.8283031511913648
67,4017.88,3.710665427823959
68,4064.4,3.7806389267141394
69,4111.46,3.748136541025659
70,4159.07,3.6861367173403945
71,4207.23,3.5548494556583456
72,4255.95,3.5747642025613886
73,4305.23,3.573267958049525
74,4355.08,3.52722516870463
75,4365.15832,3.5320163401605678
76,4405.51,3.563779432357788
77,4456.53,3.511232029261627
78,4508.13,3.4927033503168614
79,4560.33,3.4214885239425055
80,4613.14,3.401340114348066
81,4666.56,3.363038121533543
82,4720.59,3.2808255454989377
83,4775.25,3.238825514663261
84,4830.55,3.304798593236022
85,4886.48,3.7734102170077137
86,4943.07,3.1527310786068554
87,5000.31,3.0977986138239406
88,5011.87234,3.0753436655031083
89,5058.21,2.995452663455829
90,5116.78,3.0398708132784993
91,5176.03,3.021638549781712
92,5235.96,2.989668872965467
93,5296.59,2.943731270673312
94,5357.92,2.9114957429052453
95,5419.97,2.894611777504812
96,5482.73,2.834774630550241
97,5546.21,2.800263045963303
98,5610.44,2.768809255509318
99,5675.4,2.7369757713447385
100,5741.12,2.665675825234884
101,5754.399369999999,2.659676856243383
102,5807.6,2.64376949228362
103,5874.85,2.606022397771812
104,5942.87,2.586642198088642
105,6011.69,2.527783707318343
106,6081.3,2.4937086540995033
107,6151.72,2.469581581154945
108,6222.95,2.466777488484669
109,6295.01,2.425367918811496
110,6367.9,2.394320872135426
111,6441.64,2.3984488911792816
112,6516.23,2.314675975943062
113,6591.69,2.2817486691495894
114,6606.93448,2.2773137539541324
115,6668.01,2.2664468793413493
116,6745.23,2.2386717447630593
117,6823.33,2.220451924890429
118,6902.34,2.1854836236338793
119,6982.27,2.152522242296884
120,7063.12,2.1188927808794435
121,7144.91,2.1082410419885034
122,7227.64,2.0968670256240642
123,7311.33,2.081248534393073
124,7395.99,2.064181969599003
125,7481.63,2.0127237325453278
126,7568.27,1.9908066258389936
127,7585.77575,1.985501686862448
128,7655.9,1.969836207801686
129,7744.56,1.933435381028411
130,7834.23,1.9211625261134602
131,7924.95,1.9059834340215192
132,8016.72,1.8818661047525882
133,8109.55,1.8291737360478386
134,8203.45,1.815962525648442
135,8298.44,1.7332088690367415
136,8394.53,1.7460539639539085
137,8491.74,1.7716672058822862
138,8590.07,1.7516955948218744
139,8689.53,1.7382773285138446
140,8709.6359,1.720687897438383
141,8790.15,1.655215804785117
142,8891.94,1.6962673694160584
143,8994.9,1.620339216399079
144,9099.06,1.5824677888714127
145,9204.42,1.5548960868330588
146,9418.82,1.5680433742569095
147,9527.89,1.545191806856347
148,9638.15,1.5424561505660197
149,9749.74,1.5088818066930134
150,9862.65,1.4938489608582515
151,9976.85,1.4708091699245003
152,10000.0,1.4654874046981563
153,10092.4,1.4484949554339366
154,10209.3,1.430525214197409
155,10327.5,1.4141411174124854
156,10447.1,1.4001114069600584
157,10568.1,1.3843750828401282
158,10690.5,1.4220021450526947
159,10814.3,1.335269593597758
160,10939.5,1.320402428475318
161,11066.1,1.3040626496853744
162,11194.3,1.283485740989713
163,11323.9,1.2602792186265481
164,11455.0,1.2466848244767723
165,11481.5362,1.242877464881886
166,11587.7,1.231334084981796
167,11721.9,1.2166846240386064
168,11857.6,1.2027564105513426
169,11994.9,1.187327661017066
170,12133.8,1.167073375435777
171,12274.3,1.1495705538074747
172,12416.4,1.13939719613216
173,12560.2,1.1239085189068945
174,12705.6,1.115489305634616
175,12852.8,1.1041319893094486
176,13001.6,1.0905131369372683
177,13152.1,1.076957965015137
178,13182.5674,1.0720903277559515
179,13304.4,1.0556539000935323
180,13458.5,1.0552607544437498
181,13614.3,1.04895854359212
182,13772.0,1.0271106716325433
183,13931.5,1.0139674365180702
184,14092.8,1.0143658382487
185,14256.0,0.9879595788713831
186,14421.0,0.9867629563391691
187,14588.0,0.993200374745959
188,14756.9,0.982405132044802
189,14927.8,0.9768889302826484
190,15100.7,0.9732397694594982
191,15135.6125,0.9696726582857602
192,15275.5,0.9570562283098523
193,15452.4,0.9623139532802742
194,15631.4,0.9621355856697913
195,15812.4,0.9271122251251129
196,15995.5,0.9422117719995295
197,16180.7,0.9472642262930409
198,16368.0,0.9273905880056472
199,16557.6,0.9280366578439289
200,16749.3,0.9147216351013054
201,16943.2,0.892696420131067
202,17139.4,0.8857759132865042
203,17337.9,0.8690141145676167
204,17378.0083,0.8679324906729965
205,17538.7,0.8642057370173297
206,17741.8,0.8582931858112588
207,17947.2,0.8418450266890187
208,18155.0,0.8306145375672978
209,18365.2,0.8275757184460959
210,18577.9,0.8240028472421015
211,18793.0,0.810264646038626
212,19010.6,0.8010483927523581
213,19230.8,0.801126365299986
214,19453.4,0.7908140078481327
215,19678.7,0.7884131541468636
216,19906.6,0.7806935262794902
217,19952.6231,0.7799642643965099
218,20137.1,0.776335992180913
219,20370.3,0.7705077259403985
220,20606.1,0.7657227474690722
221,20844.7,0.7571348481337946
222,21086.1,0.7497240279345656
223,21330.3,0.7433802868713857
224,21577.3,0.740352624944254
