,lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
0,1017.9,12.036948698323341
1,1038.0,14.471137723438522
2,1058.1,10.955026748553701
3,1078.5,10.233715609864632
4,1096.4782,9.427289607542523
5,1098.6,9.332112167514541
6,1118.7,9.7377778181119
7,1138.8,9.55743346870926
8,1158.9,9.737709119306619
9,1179.3,11.766264257226327
10,1199.4,17.851829907823685
11,1219.5,33.49399555842105
12,1239.6,18.03216120901841
13,1258.92541,12.05096186149157
14,1259.7,11.811228277487471
15,1280.1,9.602310757204465
16,1300.2,9.557233200455034
17,1326.52,8.78012639977618
18,1345.73,8.704798734843017
19,1364.38,8.361941001839192
20,1383.02,8.74513326761982
21,1401.66,9.990455533400448
22,1420.87,8.399087868467285
23,1439.52,7.84647013546346
24,1445.43977,7.796149634197376
25,1458.16,7.688022152753165
26,1476.8,7.609834054399589
27,1495.45,7.819155957066211
28,1514.65,8.157967915843644
29,1533.3,9.903629818510264
30,1551.94,13.06386172015669
31,1570.59,8.47176362282331
32,1589.79,7.400595581600744
33,1608.44,7.223667484267365
34,1627.08,7.136179385913789
35,1645.73,7.031331288580411
36,1659.58691,6.926833461984024
37,1664.37,6.890766265805379
38,1683.58,6.361980577840544
39,1702.22,6.170784465208346
40,1720.86,6.210698352576147
41,1739.51,6.173872247394253
42,1758.72,6.041446559429417
43,1777.36,5.890700446797219
44,1796.0,5.81766433416502
45,1814.65,5.746508228983126
46,1833.86,5.67476254101829
47,1852.5,5.875736428386092
48,1871.14,5.920350315753893
49,1889.79,6.471724210571999
50,1905.46072,7.159658635435322
51,1908.43,7.2900030341801205
52,1927.64,5.979374585807558
53,1946.28,5.36574668483595
54,1964.93,5.065208774260818
55,1983.57,4.933110873289211
56,2002.78,4.932162424916648
57,2021.42,4.786904523945041
58,2040.07,4.735386613369907
59,2058.71,4.7709787123983
60,2077.35,4.809960811426693
61,2096.56,4.66174236305413
62,2115.21,4.521264452478998
63,2133.85,4.4040365515073905
64,2152.49,4.313128650535783
65,2171.7,4.29559020216322
66,2187.7616199999998,4.215619774621572
67,2190.35,4.202736759221166
68,2208.99,4.148381031531913
69,2227.63,4.17811530384266
70,2246.84,4.060830012592094
71,2265.49,4.084734292559661
72,2284.13,4.135338564870407
73,2302.77,4.202672837181154
74,2321.42,4.2920871171487205
75,2340.62,4.205501818241336
76,2359.27,4.139076098208902
77,2377.91,4.083110370519649
78,2396.56,4.076044650487216
79,2415.76,4.13083935157983
80,2434.41,4.140983631547397
81,2453.05,4.045317903858143
82,2471.7,4.063422183825709
83,2490.34,4.0077264561364565
84,2509.55,3.961081164885891
85,2511.88643,3.955407334191417
86,2528.19,3.9157981224635092
87,2546.83,3.8503525987034863
88,2565.48,3.773057071980073
89,2584.69,3.7279213793067885
90,2603.33,3.694265855546766
91,2621.97,3.647020331786743
92,2640.62,3.51849480506333
93,2659.83,3.4250691123900454
94,2678.47,3.4312435886300223
95,2697.11,3.46877806487
96,2715.76,3.538052538146587
97,2734.4,3.6558470143865645
98,2753.61,3.803441321713279
99,2772.25,3.9957457979532562
100,2790.9,4.840510271229843
101,2809.54,4.585894747469821
102,2828.75,3.924109054796536
103,2847.39,3.641563531036513
104,2866.04,3.4466480043131
105,2884.0315,3.320422262052989
106,2884.68,3.315872668796033
107,2903.32,3.2090525557510396
108,2922.53,3.1996724392491984
109,2941.18,3.236892326143558
110,2959.82,3.1915222130985645
111,2978.46,3.127412100053571
112,2997.67,2.999271983551729
113,3016.32,2.8575618704460886
114,3034.96,2.8292617574010954
115,3053.6,2.787801644356102
116,3072.81,2.79886152785426
117,3091.46,2.75385141474862
118,3110.1,2.793721301703626
119,3128.74,2.8584811886586325
120,3147.39,2.7968410755529924
121,3166.59,2.8135609591117974
122,3185.24,2.8717008460061573
123,3203.88,2.8237407329611632
124,3222.53,2.765230619855523
125,3241.73,2.7060705034143284
126,3260.38,2.701680390308688
127,3279.02,2.6743302772636945
128,3297.67,2.6219901641580545
129,3311.31121,2.570074446375303
130,3316.31,2.5510495019059216
131,3335.52,2.5425572748394956
132,3354.16,2.5023751138546864
133,3372.8,2.4633929528698775
134,3391.45,2.4462807907257416
135,3410.66,2.4626485636593154
136,3429.3,2.5459064026745066
137,3447.94,2.3891842416896973
138,3466.59,2.3630920795455617
139,3485.8,2.3536498524791356
140,3504.44,2.3072876914943263
141,3523.08,2.2339355305095174
142,3541.73,2.1777633683653814
143,3560.37,2.157561207380572
144,3579.58,2.1612389803141463
145,3598.22,2.150176819329337
146,3616.87,2.1135946571852013
147,3635.51,2.1084724962003922
148,3654.72,2.084110269133966
149,3673.36,2.041778108149157
150,3692.01,2.0241559460050214
151,3710.65,2.023953785020212
152,3729.29,2.373281624035403
153,3748.5,1.960489396968977
154,3767.15,1.938837234824841
155,3785.79,1.885785073840032
156,3801.8939600000003,1.8308448583457748
157,3804.43,1.8221929741156797
158,3823.64,1.8273412110850638
159,3842.29,1.8159194994494061
160,3860.93,1.9157377887315155
161,3879.57,1.8670960780136245
162,3898.78,1.7771743149830088
163,3917.43,1.740532603347351
164,3936.07,1.6727408926294602
165,3954.71,1.7154791819115696
166,3973.36,1.7381374702759116
167,3992.56,1.6392657081630628
168,4011.21,1.608023996527405
169,4029.85,1.5936022858095142
170,4048.5,1.5789005741738564
171,4067.7,1.6180288120610078
172,4086.35,1.6146571004253498
173,4104.99,1.6660753897074592
174,4123.64,1.5710736780718013
175,4142.28,1.5155319673539105
176,4161.49,1.4926402043232947
177,4180.13,1.499848493605404
178,4198.77,1.4548067828875133
179,4217.42,1.4531550712518555
180,4236.63,1.4924033082212396
181,4255.27,1.4831715975033488
182,4273.91,1.4896798867854582
183,4292.56,1.5312881751498002
184,4311.77,1.5837264121191843
185,4330.41,1.7140847014012937
186,4349.05,1.780112990683403
187,4365.15832,1.7022042488295226
188,4367.7,1.6899116457389716
189,4386.34,1.518362624236269
190,4405.55,1.4654136326554266
191,4424.19,1.4349746111527242
192,4442.84,1.3962555901749667
193,4461.48,1.4113665686722643
194,4480.69,1.4446175770914214
195,4499.33,1.4623485555887192
196,4517.98,1.4936395346109619
197,4536.62,1.4792305131082595
198,4555.83,1.4839615215274167
199,4574.47,1.4748325000247144
200,4593.12,1.446993479046957
201,4611.76,1.4158844575442546
202,4630.4,1.4294554360415523
203,4649.61,1.3650864444607096
204,4668.26,1.3544874234829523
205,4686.9,1.3832884019802498
206,4705.54,1.2907493804775474
207,4724.75,1.2916503888967048
208,4743.4,1.2646613679189473
209,4762.04,1.274482346416245
210,4780.68,1.3214633249135426
211,4799.33,1.3830343039357853
212,4818.53,1.4892253118299976
213,4837.18,1.6756262908522401
214,4855.82,2.1366372693495377
215,4874.47,1.9660582483717803
216,4893.67,1.6508692562659928
217,4912.32,1.5050502352882353
218,4930.96,1.435911213785533
219,4949.6,1.5461421922828307
220,4968.81,1.529503200701988
221,4987.46,1.4347241797242305
222,5006.1,4.565155158221528
223,5011.87234,3.5942998986195964
224,5024.74,1.4300762724561058
225,5043.39,1.2327574482118862
226,5062.6,1.1554986592718615
227,5081.24,1.10237983439721
228,5099.88,1.104491009522558
229,5118.53,1.1138321852783384
230,5137.74,1.1373733963383137
231,5156.38,1.152724571463662
232,5175.02,1.1612257465890103
233,5193.67,1.1746369223447906
234,5212.31,1.136788097470139
235,5231.52,1.139109308530114
236,5250.16,1.1181504836554625
237,5268.81,1.1457316594112428
238,5287.45,1.1527928345365912
239,5306.66,1.1364340455965662
240,5325.3,1.1164752207219146
241,5343.95,1.068766396477695
242,5362.59,1.0611775716030434
243,5381.8,1.0308587826630184
244,5400.44,1.0154399577883668
245,5419.09,1.0273111335441472
246,5437.73,1.0156823086694955
247,5456.37,1.0009634837948436
248,5475.58,1.0030946948548192
249,5494.23,1.0009658706105993
250,5512.87,0.9997110457359476
251,5531.51,1.0132482208612958
252,5550.72,1.0005524319212713
253,5569.37,0.9940236076770516
254,5588.01,0.9837467828023998
255,5606.65,0.9713179579277481
256,5625.3,0.9636691336835284
257,5644.5,0.9612443441130718
258,5663.15,0.956815519868852
259,5681.79,0.9617996949942003
260,5700.44,0.9460268707499806
261,5719.64,0.9453710811795238
262,5738.29,0.9276922569353042
263,5754.399369999999,0.9426748137743071
264,5756.93,0.945028678861632
265,5775.58,0.9721956734681592
266,5794.78,1.0312187563874795
267,5813.43,1.0159617509940069
268,5832.07,0.9729717439948469
269,5850.71,0.9894387369956871
270,5869.36,1.0203007316022144
271,5888.57,0.9960798161272217
272,5907.21,0.9709488091280619
273,5925.85,0.938421802128902
274,5944.5,0.9424767967354293
