,lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
0,1005.0,0.9106143667368976
1,1015.0,0.8728690772701668
2,1025.0,0.37826778780343595
3,1035.0,0.5947014983367052
4,1045.0,1.1661342088699744
5,1055.0,1.1521939194032436
6,1065.0,0.9036456299365127
7,1075.0,1.081933340469782
8,1085.0,0.840345051003051
9,1095.0,1.1330227615363202
10,1096.4782,1.1276139849473479
11,1105.0,1.096431946690621
12,1115.0,1.0494010407121572
13,1125.0,0.9535831347336936
14,1135.0,1.21606922875523
15,1145.0,1.0975883227767662
16,1155.0,1.1777374167983026
17,1165.0,1.221866510819839
18,1175.0,0.8577596048413754
19,1185.0,1.1736646988629116
20,1195.0,0.759616792884448
21,1205.0,0.5428898869059844
22,1215.0,0.36240198092752074
23,1225.0,0.7555480749490571
24,1235.0,1.1974701689705936
25,1245.0,1.3350992629921297
26,1255.0,1.268908357013666
27,1258.92541,1.1843350429299728
28,1265.0,1.0534580405256382
29,1275.0,1.4198981049672943
30,1285.0,1.4988681694089505
31,1295.0,1.163208233850607
32,1305.0,1.129528298292263
33,1315.0,1.4454483627339192
34,1325.0,1.3838884271755756
35,1335.0,1.1980484916172318
36,1345.0,1.4622785560588882
37,1355.0,1.4053686205005445
38,1365.0,1.2369586849422007
39,1375.0,1.313618749383857
40,1385.0,1.3269788138255132
41,1395.0,1.1742488782671694
42,1405.0,1.2131489427088256
43,1415.0,1.2090890071504818
44,1425.0,1.2491590715921381
45,1435.0,1.2259291360337943
46,1442.0,1.3002691811429536
47,1445.43977,1.3186444546494012
48,1447.0,1.3269792117479398
49,1455.0,1.2822592550161163
50,1465.0,1.1730893091013368
51,1475.0,1.1614693631865576
52,1485.0,1.1852694172717781
53,1495.0,1.2090894713569988
54,1505.0,1.1411395254422194
55,1512.0,1.0064195633018738
56,1517.0,1.0854095903444843
57,1525.0,1.0348796336126609
58,1535.0,0.8943396876978815
59,1545.0,1.0040997417831021
60,1555.0,0.9373137958683228
61,1565.0,0.9396358499535434
62,1575.0,0.9965489040387641
63,1585.0,1.0482299581239847
64,1595.0,1.0697200122092054
65,1605.0,1.039520066294426
66,1615.0,1.0412601203796468
67,1625.0,0.9727391744648674
68,1635.0,1.034290228550088
69,1645.0,1.0482302826353087
70,1655.0,0.9518313367205293
71,1659.58691,0.9955212205879331
72,1665.0,1.0470805753320442
73,1672.0,0.9164078518140125
74,1677.0,1.0395210493011326
75,1685.0,1.0923513652805248
76,1695.0,1.017461760254765
77,1705.0,0.9675131552290054
78,1715.0,0.9088605502032456
79,1725.0,0.898406945177486
80,1735.0,0.9535763401517262
81,1745.0,0.9239597351259665
82,1755.0,0.9866781301002068
83,1765.0,0.8856335250744471
84,1775.0,0.9100249200486873
85,1785.0,0.9193173150229277
86,1795.0,0.979709709997168
87,1805.0,0.9622901049714082
88,1815.0,0.8815704999456485
89,1825.0,0.8920228949198887
90,1835.0,0.847889289894129
91,1845.0,0.7712346848683693
92,1855.0,0.7677500798426096
93,1865.0,0.78691447481685
94,1875.0,0.8513748697910901
95,1885.0,0.7782052647653305
96,1895.0,0.7427816597395708
97,1905.0,0.7787870547138109
98,1905.46072,0.7773154871590641
99,1915.0,0.7468455872413358
100,1925.0,0.7300050781151456
101,1935.0,0.7427805689889554
102,1945.0,0.7718150598627652
103,1955.0,0.719549550736575
104,1967.0,0.7834279397851467
105,1976.0,0.7996904815715755
106,1984.0,0.7520690742706233
107,1995.0,0.7247745142318142
108,2005.0,0.741616005105624
109,2015.0,0.7090954959794338
110,2025.0,0.7404519868532435
111,2035.0,0.6992214777270532
112,2045.0,0.725352968600863
113,2055.0,0.6899284594746727
114,2065.0,0.6881849503484826
115,2074.0,0.7329004921349114
116,2078.0,0.7009612884844354
117,2085.0,0.7247699320961022
118,2095.0,0.681215422969912
119,2105.0,0.6800539138437217
120,2115.0,0.6835374047175315
121,2125.0,0.6899248955913413
122,2135.0,0.6330143864651512
123,2145.0,0.6521778773389609
124,2155.0,0.6730823682127707
125,2165.0,0.6463698590865805
126,2175.0,0.6364953499603903
127,2185.0,0.6248828408342001
128,2187.7616199999998,0.6325798874968924
129,2195.0,0.6527549940550257
130,2205.0,0.6295283999775284
131,2215.0,0.5929418059000311
132,2225.0,0.5731412118225339
133,2235.0,0.6184956177450366
134,2245.0,0.5882970236675393
135,2255.0,0.562397429590042
136,2265.0,0.5755238355125448
137,2275.0,0.5935252414350476
138,2285.0,0.6126906473575503
139,2295.0,0.578312053280053
140,2305.0,0.5785444592025557
141,2315.0,0.5505538651250584
142,2325.0,0.4304032710475612
143,2335.0,0.510194676970064
144,2345.0,0.49109008289256667
145,2355.0,0.5380124888150695
146,2365.0,0.4892908947375722
147,2375.0,0.507525300660075
148,2385.0,0.4671647065825777
149,2395.0,0.5024731125050803
150,2405.0,0.48092951842758314
151,2415.0,0.49416992435008583
152,2425.0,0.5289563302725886
153,2435.0,0.5077007361950914
154,2445.0,0.5408621421175941
155,2455.0,0.5323835480400968
156,2465.0,0.5278539539625995
157,2475.0,0.5067733598851023
158,2485.0,0.519375765807605
159,2495.0,0.4941161717301078
160,2505.0,0.5502715776526105
161,2511.88643,0.4943850345233004
162,2513.0,0.4853478396938157
163,2518.0,0.4970777611424678
164,2525.0,0.4742546511705808
165,2535.0,0.483082494067885
166,2545.0,0.4751853369651893
167,2555.0,0.5154281798624936
168,2565.0,0.4988780227597978
169,2575.0,0.5309328656571021
170,2585.0,0.5229777085544063
171,2595.0,0.5145565514517105
172,2605.0,0.4938833943490148
173,2615.0,0.48610123724631904
174,2625.0,0.5113620801436234
175,2635.0,0.5339529230409276
176,2645.0,0.5848237659382318
177,2655.0,0.6045666088355361
178,2665.0,0.5379004517328403
179,2675.0,0.5652522946301446
180,2685.0,0.5674001375274488
181,2695.0,0.533601980424753
182,2705.0,0.5538698233220574
183,2715.0,0.5182706662193616
184,2725.0,0.5126955091166658
185,2735.0,0.5429503520139701
186,2745.0,0.46397319491127437
187,2755.0,0.4777930378085786
188,2765.0,0.5003838807058829
189,2775.0,0.5236707236031871
190,2785.0,0.48778156650049137
191,2795.0,0.38812940939779567
192,2805.0,0.41774625229509993
193,2815.0,0.5154240951924042
194,2825.0,0.5482339380897084
195,2835.0,0.5261677809870127
196,2845.0,0.504041623884317
197,2855.0,0.4786634667816212
198,2865.0,0.5390003096789254
199,2875.0,0.5476531525762297
200,2884.0315,0.54235603593893
201,2885.0,0.5417880103775435
202,2895.0,0.5457360071624014
203,2910.0,0.6010790023396883
204,2930.0,0.5711709959094042
205,2950.0,0.55816398947912
206,2970.0,0.5672809830488359
207,2990.0,0.5674549766185517
208,3010.0,0.5735529701882677
209,3030.0,0.5743079637579834
210,3050.0,0.5745979573276994
211,3070.0,0.5794179508974152
212,3090.0,0.579881944467131
213,3110.0,0.5853999380368469
214,3130.0,0.5731469316065627
215,3150.0,0.5734959251762786
216,3170.0,0.5794179187459945
217,3190.0,0.5446899123157103
218,3210.0,0.5669899058854262
219,3230.0,0.5342378994551421
220,3250.0,0.5819158930248579
221,3270.0,0.6092098865945738
222,3290.0,0.6022398801642896
223,3310.0,0.5946898737340055
224,3311.31121,0.5944994856204329
225,3330.0,0.5917857584490156
226,3350.0,0.5807536355267534
227,3370.0,0.5375475126044911
228,3390.0,0.5512523896822289
229,3410.0,0.5547362667599667
230,3430.0,0.5574071438377044
231,3450.0,0.5640280209154422
232,3470.0,0.56466689799318
233,3490.0,0.5813337750709178
234,3510.0,0.5946886521486555
235,3530.0,0.5709385292263934
236,3550.0,0.6016584063041311
237,3570.0,0.5289522833818688
238,3590.0,0.5256991604596067
239,3610.0,0.5604840375373444
240,3630.0,0.5694269146150822
241,3640.0,0.5759888531539511
242,3650.0,0.6109487916928199
243,3670.0,0.6115296687705578
244,3690.0,0.5638515458482956
245,3710.0,0.6057214229260333
246,3730.0,0.5413783000037712
247,3750.0,0.6347571770815089
248,3770.0,0.6968960541592466
249,3790.0,0.7758729312369844
250,3801.8939600000003,0.8086811573993619
251,3810.0,0.8310408186954457
