,lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
0,1005.0,8.521384304399316
1,1015.0,8.435625974470419
2,1025.0,7.523997644541524
3,1035.0,7.840659314612628
4,1045.0,8.726200984683732
5,1055.0,8.562852654754836
6,1065.0,8.013264324825943
7,1075.0,8.228095994897046
8,1085.0,7.767377664968151
9,1095.0,8.164039335039256
10,1096.4782,8.136312984509166
11,1105.0,7.987596237457523
12,1115.0,7.844572933869497
13,1125.0,7.514089630281471
14,1135.0,7.9229863266934455
15,1145.0,7.66684302310542
16,1155.0,7.6943397195173935
17,1165.0,7.654756415929368
18,1175.0,6.836193112341341
19,1185.0,7.422869808753315
20,1195.0,6.829756505165291
21,1205.0,6.378863201577264
22,1215.0,6.025759897989238
23,1225.0,6.6059565944012135
24,1235.0,7.127193290813187
25,1245.0,7.208819987225161
26,1255.0,7.037536683637136
27,1258.92541,6.922073377103386
28,1265.0,6.753679007740811
29,1275.0,7.149617921292872
30,1285.0,7.185976834844933
31,1295.0,6.634835748396995
32,1305.0,6.581484661949057
33,1315.0,6.974193575501118
34,1325.0,6.80770248905318
35,1335.0,6.515161402605242
36,1345.0,6.791500316157304
37,1355.0,6.663809229709365
38,1365.0,6.374488143261427
39,1375.0,6.389827056813489
40,1385.0,6.334845970365551
41,1395.0,5.908164883917612
42,1405.0,5.921883797469674
43,1415.0,6.001862711021736
44,1425.0,5.971951624573798
45,1435.0,5.927480538125859
46,1442.0,5.981281777612303
47,1445.43977,5.9779379474592
48,1447.0,5.97840208862387
49,1455.0,5.87492594884791
50,1465.0,5.67023077412796
51,1475.0,5.629575599408011
52,1485.0,5.608310424688062
53,1495.0,5.578965249968112
54,1505.0,5.419520075248164
55,1512.0,5.193728452944199
56,1517.0,5.2744058655842245
57,1525.0,5.1959797258082645
58,1535.0,4.923394551088315
59,1545.0,4.961939376368366
60,1555.0,4.853394201648416
61,1565.0,4.872529026928467
62,1575.0,4.933693852208518
63,1585.0,4.964958677488569
64,1595.0,4.9525835027686185
65,1605.0,4.88848832804867
66,1615.0,4.85025315332872
67,1625.0,4.740097978608771
68,1635.0,4.801262803888822
69,1645.0,4.785657629168872
70,1655.0,4.643172454448923
71,1659.58691,4.678640655881455
72,1665.0,4.7252566156449305
73,1672.0,4.540369583678775
74,1677.0,4.708683132274379
75,1685.0,4.731020810027345
76,1695.0,4.600567907218552
77,1705.0,4.5121350044097595
78,1715.0,4.395422101600967
79,1725.0,4.350629198792174
80,1735.0,4.401186295983382
81,1745.0,4.331343393174588
82,1755.0,4.375430490365796
83,1765.0,4.231247587557004
84,1775.0,4.205854684748211
85,1785.0,4.197411781939418
86,1795.0,4.241508879130626
87,1805.0,4.199135976321833
88,1815.0,4.043633073513041
89,1825.0,4.040850170704248
90,1835.0,3.956467267895455
91,1845.0,3.8163143650866624
92,1855.0,3.78525146227787
93,1865.0,3.784908559469078
94,1875.0,3.8435456566602846
95,1885.0,3.702582753851492
96,1895.0,3.6165898510426993
97,1905.0,3.6574469482339067
98,1905.46072,3.6536707533756996
99,1915.0,3.580722434839374
100,1925.0,3.527680920703793
101,1935.0,3.5425194065682124
102,1945.0,3.558977892432631
103,1955.0,3.4517963782970504
104,1967.0,3.5217925613343537
105,1976.0,3.53489719861233
106,1984.0,3.4493279873038656
107,1995.0,3.3947803217547268
108,2005.0,3.406368807619146
109,2015.0,3.350097293483565
110,2025.0,3.374635779347984
111,2035.0,3.2860442652124036
112,2045.0,3.3008827510768217
113,2055.0,3.2268312369412415
114,2065.0,3.2141897228056604
115,2074.0,3.2668943600836373
116,2078.0,3.195419754429405
117,2085.0,3.220426694534498
118,2095.0,3.140715180398918
119,2105.0,3.1313136662633374
120,2115.0,3.1178721521277564
121,2125.0,3.108470637992175
122,2135.0,3.025529123856595
123,2145.0,3.0153176097210137
124,2155.0,3.0293360955854327
125,2165.0,2.9811445814498514
126,2175.0,2.950733067314271
127,2185.0,2.9122415531786903
128,2187.7616199999998,2.9167839999319796
129,2195.0,2.9322163374722283
130,2205.0,2.8929264913467807
131,2215.0,2.837496645221333
132,2225.0,2.7982167990958855
133,2235.0,2.8332769529704382
134,2245.0,2.790757106844991
135,2255.0,2.748252260719543
136,2265.0,2.7542284145940963
137,2275.0,2.7601875684686483
138,2285.0,2.767777722343201
139,2295.0,2.7058758762177537
140,2305.0,2.7021520300923063
141,2315.0,2.655597183966859
142,2325.0,2.4892073378414112
143,2335.0,2.5843094917159637
144,2345.0,2.556341645590516
145,2355.0,2.5922127994650688
146,2365.0,2.529497953339621
147,2375.0,2.5338521072141735
148,2385.0,2.478410261088727
149,2395.0,2.5053924149632785
150,2405.0,2.467726568837832
151,2415.0,2.469659722712384
152,2425.0,2.4942158765869364
153,2435.0,2.454935030461489
154,2445.0,2.4811091843360416
155,2455.0,2.459608338210594
156,2465.0,2.4421434920851466
157,2475.0,2.406095645959699
158,2485.0,2.408028799834252
159,2495.0,2.3380389537088044
160,2505.0,2.4102731075833566
161,2511.88643,2.3406531278554903
162,2513.0,2.3296844856398744
163,2518.0,2.345280335698172
164,2525.0,2.31330072577979
165,2535.0,2.3113654258963865
166,2545.0,2.289227126012983
