,lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
0,1005.0,14.455011917611824
1,1015.0,14.308731196542482
2,1025.0,13.38565247547314
3,1035.0,13.488239754403798
4,1045.0,14.359789033334458
5,1055.0,14.131958312265116
6,1065.0,13.437807591195774
7,1075.0,13.615906870126432
8,1085.0,13.019616149057091
9,1095.0,13.42785542798775
10,1096.4782,13.388641631799278
11,1105.0,13.187314090559095
12,1115.0,12.93838407150187
13,1125.0,12.554754052444647
14,1135.0,12.978134033387425
15,1145.0,12.639194014330203
16,1155.0,12.64215399527298
17,1165.0,12.534573976215757
18,1175.0,11.635083957158532
19,1185.0,12.191353938101312
20,1195.0,11.425963919044086
21,1205.0,10.865949899986866
22,1215.0,10.618228880929642
23,1225.0,11.120133861872418
24,1235.0,11.696333842815195
25,1245.0,11.743383823757974
26,1255.0,11.46425380470075
27,1258.92541,11.295166761470007
28,1265.0,11.056376124980796
29,1275.0,11.547608588374683
30,1285.0,11.582781051768569
31,1295.0,10.805513515162456
32,1305.0,10.698735978556343
33,1315.0,11.19781844195023
34,1325.0,10.966610905344115
35,1335.0,10.539083368738002
36,1345.0,10.92460583213189
37,1355.0,10.734468295525776
38,1365.0,10.322650758919664
39,1375.0,10.341513222313552
40,1385.0,10.245005685707437
41,1395.0,9.788488149101324
42,1405.0,9.767480612495213
43,1415.0,9.7434630758891
44,1425.0,9.723665539282987
45,1435.0,9.610248002676872
46,1442.0,9.669236727052592
47,1445.43977,9.664920663053431
48,1447.0,9.667367820719157
49,1455.0,9.525773497232105
50,1465.0,9.255138092873292
51,1475.0,9.20075268851448
52,1485.0,9.183827284155665
53,1495.0,9.151791879796852
54,1505.0,8.942166475438038
55,1512.0,8.65124769238687
56,1517.0,8.758149990207462
57,1525.0,8.63648566672041
58,1535.0,8.307260262361597
59,1545.0,8.402684858002784
60,1555.0,8.24922945364397
61,1565.0,8.212364049285156
62,1575.0,8.252218644926343
63,1585.0,8.28783324056753
64,1595.0,8.241307836208717
65,1605.0,8.151892431849902
66,1615.0,8.091467027491088
67,1625.0,7.912651623132276
68,1635.0,7.968206218773462
69,1645.0,7.924700814414648
70,1655.0,7.711445410055835
71,1659.58691,7.750505056685086
72,1665.0,7.807183428445022
73,1672.0,7.547470721043066
74,1677.0,7.757168787184526
75,1685.0,7.808795693010863
76,1695.0,7.627791825293783
77,1705.0,7.502957957576703
78,1715.0,7.341274089859622
79,1725.0,7.281680222142542
80,1735.0,7.342886354425463
81,1745.0,7.250672486708384
82,1755.0,7.313098618991304
83,1765.0,7.108524751274223
84,1775.0,7.0785308835571445
85,1785.0,7.061817015840065
86,1795.0,7.1302831481229845
87,1805.0,7.068869280405905
88,1815.0,6.854635412688826
89,1825.0,6.845181544971746
90,1835.0,6.724567677254666
91,1845.0,6.539933809537586
92,1855.0,6.4845699418205065
93,1865.0,6.478126074103427
94,1875.0,6.562292206386347
95,1885.0,6.373428338669267
96,1895.0,6.263094470952188
97,1905.0,6.298940603235108
98,1905.46072,6.293439428241646
99,1915.0,6.191185438334715
100,1925.0,6.129302872536319
101,1935.0,6.134470306737924
102,1945.0,6.145677740939528
103,1955.0,6.011305175141134
104,1967.0,6.098574096183058
105,1976.0,6.101050786964502
106,1984.0,5.984246734325785
107,1995.0,5.899084911947551
108,2005.0,5.906062346149154
109,2015.0,5.81034978035076
110,2025.0,5.836657214552363
111,2035.0,5.714374648753969
112,2045.0,5.731622082955573
113,2055.0,5.631079517157177
114,2065.0,5.590336951358781
115,2074.0,5.648993642140226
116,2078.0,5.557066615820867
117,2085.0,5.58557181976199
118,2095.0,5.477779253963596
119,2105.0,5.4491166881652
120,2115.0,5.427104122366805
121,2125.0,5.407501556568408
122,2135.0,5.282798990770013
123,2145.0,5.2746764249716165
124,2155.0,5.287693859173222
125,2165.0,5.216751293374826
126,2175.0,5.169968727576431
127,2185.0,5.1086961617780355
128,2187.7616199999998,5.113959100922019
129,2195.0,5.135595090606202
130,2205.0,5.079105742498176
131,2215.0,4.997856394390151
132,2225.0,4.939559046282125
133,2235.0,4.9863676981741
134,2245.0,4.917797350066074
135,2255.0,4.846211001958048
136,2265.0,4.852545653850023
137,2275.0,4.855860305741997
138,2285.0,4.862190957633972
139,2295.0,4.774902609525947
140,2305.0,4.7564712614179205
141,2315.0,4.681863913309895
142,2325.0,4.44235156520187
143,2335.0,4.564664217093844
144,2345.0,4.520862868985819
145,2355.0,4.568273520877793
146,2365.0,4.469504172769767
147,2375.0,4.471610824661742
148,2385.0,4.389150476553716
149,2395.0,4.422063128445691
150,2405.0,4.362556780337665
151,2415.0,4.36345543222964
152,2425.0,4.392744084121614
153,2435.0,4.3338427360135885
154,2445.0,4.364339387905563
155,2455.0,4.328391039797538
156,2465.0,4.299086691689512
157,2475.0,4.242600343581486
158,2485.0,4.242290995473461
