,lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
0,1017.9,12.036644778200309
1,1038.0,14.470837733437952
2,1058.1,10.954730688675594
3,1078.5,10.233423538767532
4,1096.4782,9.427001051695557
5,1098.6,9.331824910142862
6,1118.7,9.737502861312036
7,1138.8,9.557170812481212
8,1158.9,9.737458763650388
9,1179.3,11.766026385732536
10,1199.4,17.851604336901712
11,1219.5,33.49378228807089
12,1239.6,18.031960239240064
13,1258.92541,12.050772718260173
14,1259.7,11.811039100538993
15,1280.1,9.60212069226567
16,1300.2,9.557042260584602
17,1326.52,8.77993431422412
18,1345.73,8.704605813100073
19,1364.38,8.36174726828157
20,1383.02,8.744938722682809
21,1401.66,9.990260177084048
22,1420.87,8.398891675960003
23,1439.52,7.846273131141499
24,1445.43977,7.795952372194119
25,1458.16,7.687824426036781
26,1476.8,7.609635646700812
27,1495.45,7.818956868019707
28,1514.65,8.157768125356048
29,1533.3,9.903429346674942
30,1551.94,13.063660567338973
31,1570.59,8.471561788657867
32,1589.79,7.400393045994209
33,1608.44,7.223464267313103
34,1627.08,7.135975487977134
35,1645.73,7.031126709296029
36,1659.58691,6.926628376459742
37,1664.37,6.890559904169384
38,1683.58,6.3617690910436195
39,1702.22,6.170568005324501
40,1720.86,6.210476919605382
41,1739.51,6.1736458386686035
42,1758.72,6.041215025542838
43,1777.36,5.89046393982372
44,1796.0,5.817422854104601
45,1814.65,5.746261773167822
46,1833.86,5.674510960042056
47,1852.5,5.875479874322938
48,1871.14,5.920088788603819
49,1889.79,6.4714577076670405
50,1905.46072,7.1593879516369805
51,1908.43,7.289733371528062
52,1927.64,5.97911152954496
53,1946.28,5.365490038937724
54,1964.93,5.064958542165998
55,1983.57,4.932867051558762
56,2002.78,4.93192520957566
57,2021.42,4.786673718968423
58,2040.07,4.7351622221966965
59,2058.71,4.77076073158946
60,2077.35,4.8097492409822244
61,2096.56,4.661537398999123
62,2115.21,4.521065902227397
63,2133.85,4.4038444116201605
64,2152.49,4.312942921012923
65,2171.7,4.295411079029821
66,2187.7616199999998,4.215446175138204
67,2190.35,4.202562450025171
68,2208.99,4.14820161140036
69,2227.63,4.17793077277555
70,2246.84,4.060640214300088
71,2265.49,4.084539380590179
72,2284.13,4.135138541965369
73,2302.77,4.202467703340559
74,2321.42,4.2918768696306495
75,2340.62,4.205286306240287
76,2359.27,4.138855472530378
77,2377.91,4.082884633905568
78,2396.56,4.075813800195658
79,2415.76,4.130603236805295
80,2434.41,4.140742403095387
81,2453.05,4.045071564470575
82,2471.7,4.063170730760666
83,2490.34,4.007469892135856
84,2509.55,3.9608193336603947
85,2511.88643,3.9551448623359224
86,2528.19,3.9155373807339613
87,2546.83,3.8500938350405605
88,2565.48,3.772800287444964
89,2584.69,3.72766663332639
90,2603.33,3.6940130876329897
91,2621.97,3.646769541939589
92,2640.62,3.5182459943439923
93,2659.83,3.4248223402254188
94,2678.47,3.430998794532018
95,2697.11,3.468535248838618
96,2715.76,3.5378117012430215
97,2734.4,3.6556081555496207
98,2753.61,3.8032045014310465
99,2772.25,3.995510955737646
100,2790.9,4.840277408142049
101,2809.54,4.58566386244865
102,2828.75,3.923880208330075
103,2847.39,3.6413366626366748
104,2866.04,3.4464231150410782
105,2884.0315,3.3201992820291233
106,2884.68,3.3156496901805528
107,2903.32,3.2088296176171385
108,2922.53,3.199449542834779
109,2941.18,3.2366694702324352
110,2959.82,3.1912993976690207
111,2978.46,3.1271893251056064
112,2997.67,2.9990492503232464
113,3016.32,2.8573391777209025
114,3034.96,2.8290391051574884
115,3053.6,2.787579032594074
116,3072.81,2.798638957811714
117,3091.46,2.75362888520937
118,3110.1,2.793498812645956
119,3128.74,2.8582587400825417
120,3147.39,2.7966186674801983
121,3166.59,2.813338592736767
122,3185.24,2.8714785201344237
123,3203.88,2.823518447571009
124,3222.53,2.765008374968666
125,3241.73,2.7058483002252345
126,3260.38,2.7014582276228913
127,3279.02,2.6741081550594767
128,3297.67,2.621768082457134
129,3311.31121,2.5698523942997964
130,3316.31,2.5508276573584676
131,3335.52,2.5423362278078177
132,3354.16,2.5021548406748604
133,3372.8,2.463173453541903
134,3391.45,2.4460620656647754
135,3410.66,2.4624306361141257
136,3429.3,2.5456892489811684
137,3447.94,2.388967861848211
138,3466.59,2.3628764739710837
139,3485.8,2.3534350444204337
140,3504.44,2.3070736572874764
141,3523.08,2.233722270154519
142,3541.73,2.1775508822773912
143,3560.37,2.157349495144434
144,3579.58,2.161028065593784
145,3598.22,2.1499666784608267
146,3616.87,2.1133852905836994
147,3635.51,2.1082639034507418
148,3654.72,2.083902473900092
149,3673.36,2.0415710867671346
150,3692.01,2.023949698890007
151,3710.65,2.02374831175705
152,3729.29,2.3730769246240926
153,3748.5,1.960285495073443
154,3767.15,1.9386341071963153
155,3785.79,1.8855827200633577
156,3801.8939600000003,1.830643173135585
157,3804.43,1.8219913722533974
158,3823.64,1.8271402405666488
159,3842.29,1.815719141870248
160,3860.93,1.9155380437629606
161,3879.57,1.866896945655673
162,3898.78,1.7769758139689245
163,3917.43,1.7403347152725237
164,3936.07,1.6725436171652361
165,3954.71,1.7152825190579486
166,3973.36,1.7379414203615478
167,3992.56,1.6390702892639126
168,4011.21,1.6078291905675117
169,4029.85,1.5934080924602243
170,4048.5,1.5787069937638234
171,4067.7,1.6178358626661884
172,4086.35,1.6144647639697873
173,4104.99,1.6658836658625
174,4123.64,1.570882567166099
175,4142.28,1.5153414690588116
176,4161.49,1.4924503373720632
177,4180.13,1.4996592392647756
178,4198.77,1.454618141157488
179,4217.42,1.4529670424610874
180,4236.63,1.492215910774339
181,4255.27,1.4829848126670513
182,4273.91,1.4894937145597638
183,4292.56,1.531102615863363
184,4311.77,1.5835414841766144
185,4330.41,1.713900386069327
186,4349.05,1.7799292879620396
187,4365.15832,1.702021075514148
188,4367.7,1.6897284246441953
189,4386.34,1.5181790527401655
190,4405.55,1.4652297000429333
191,4424.19,1.4347903281389034
192,4442.84,1.396070956571835
193,4461.48,1.4111815846678053
194,4480.69,1.444432231970573
195,4499.33,1.462162860066543
196,4517.98,1.4934534884994748
197,4536.62,1.4790441165954449
198,4555.83,1.4837747638982128
199,4574.47,1.4746453919941829
200,4593.12,1.4468060204271145
201,4611.76,1.4156966485230846
202,4630.4,1.429267276619055
203,4649.61,1.3648979239218226
204,4668.26,1.3542985523547544
205,4686.9,1.3830991804507244
206,4705.54,1.2905598085466947
207,4724.75,1.2914604558494625
208,4743.4,1.2644710842823939
209,4762.04,1.2742917123783641
210,4780.68,1.3212723404743345
211,4799.33,1.382842968907266
212,4818.53,1.4890336158730724
213,4837.18,1.675434244306004
214,4855.82,2.1364448724019742
215,4874.47,1.9658655008349057
216,4893.67,1.6506761478007121
217,4912.32,1.5048567762336438
218,4930.96,1.435717404329614
219,4949.6,1.5459480324255843
220,4968.81,1.529308679728352
221,4987.46,1.4345293081612835
222,5006.1,4.564959936257254
223,5011.87234,3.5941045681448287
224,5024.74,1.4298806514827835
225,5043.39,1.2325614061986825
226,5062.6,1.155302183576292
227,5081.24,1.1021829378875176
228,5099.88,1.104293692198743
229,5118.53,1.113634446914642
230,5137.74,1.1371752242922515
231,5156.38,1.152525978603477
232,5175.02,1.1610267329147026
233,5193.67,1.1744374876306014
234,5212.31,1.136588241941827
235,5231.52,1.1389090193194364
236,5250.16,1.117949773630662
237,5268.81,1.1455305283465609
238,5287.45,1.1525912826577864
239,5306.66,1.136232060035396
240,5325.3,1.1162728143466214
241,5343.95,1.0685635690625204
242,5362.59,1.0609743233737459
243,5381.8,1.0306551007513554
244,5400.44,1.0152358550625808
245,5419.09,1.0271066097784798
246,5437.73,1.0154773640897052
247,5456.37,1.0007581184009309
