,id,z,U_0,U_10,U_20,U_30,U_40,U_50,U_60,U_70,U_80,U_90,U_100,V_0,V_10,V_20,V_30,V_40,V_50,V_60,V_70,V_80,V_90,V_100,J_0,J_10,J_20,J_30,J_40,J_50,J_60,J_70,J_80,J_90,J_100,IRAC3.6_0,IRAC3.6_10,IRAC3.6_20,IRAC3.6_30,IRAC3.6_40,IRAC3.6_50,IRAC3.6_60,IRAC3.6_70,IRAC3.6_80,IRAC3.6_90,IRAC3.6_100,IRAC4.5_0,IRAC4.5_10,IRAC4.5_20,IRAC4.5_30,IRAC4.5_40,IRAC4.5_50,IRAC4.5_60,IRAC4.5_70,IRAC4.5_80,IRAC4.5_90,IRAC4.5_100,IRAC5.8_0,IRAC5.8_10,IRAC5.8_20,IRAC5.8_30,IRAC5.8_40,IRAC5.8_50,IRAC5.8_60,IRAC5.8_70,IRAC5.8_80,IRAC5.8_90,IRAC5.8_100,IRAC8.0_0,IRAC8.0_10,IRAC8.0_20,IRAC8.0_30,IRAC8.0_40,IRAC8.0_50,IRAC8.0_60,IRAC8.0_70,IRAC8.0_80,IRAC8.0_90,IRAC8.0_100,u_0,u_10,u_20,u_30,u_40,u_50,u_60,u_70,u_80,u_90,u_100,g_0,g_10,g_20,g_30,g_40,g_50,g_60,g_70,g_80,g_90,g_100,r_0,r_10,r_20,r_30,r_40,r_50,r_60,r_70,r_80,r_90,r_100
0,Arp220,0.0,-19.32396535234919,-20.941107656482096,-21.56379876741065,-21.957033779090857,-22.245098628964012,-22.472539449893524,-22.660489282113744,-22.82065420303388,-22.96020100482949,-23.083837716595937,-23.19482377929152,-21.110089763380508,-21.764975101931704,-22.17058403893061,-22.465198334771443,-22.696693139562633,-22.88739950852596,-23.04956046110953,-23.190619365074667,-23.31544121313137,-23.42738115066432,-23.52885108507118,-22.223806168391423,-22.67395140503212,-22.991223028186013,-23.236442242856175,-23.43635372001185,-23.60511736461458,-23.751143557163992,-23.87983797514227,-23.994881752877603,-24.09889503662109,-24.193809215832268,0.04747974762612917,0.2586565488741664,0.4698333501222037,0.6810101513702408,0.892186952618278,1.1033637538663155,1.314540555114353,1.5257173563623896,1.7368941576104269,1.948070958858464,2.1592477601065014,0.03814306750146932,0.21175410551272097,0.3853651435239728,0.5589761815352243,0.732587219546476,0.9061982575577275,1.0798092955689795,1.2534203335802312,1.4270313715914826,1.6006424096027343,1.7742534476139857,0.04332916606915597,0.15814939716356774,0.27296962825797955,0.38778985935239135,0.502610090446803,0.6174303215412148,0.7322505526356267,0.8470707837300386,0.9618910148244502,1.076711245918862,1.1915314770132737,0.06049952150950861,0.14988772302330924,0.23927592453710986,0.3286641260509106,0.41805232756471106,0.5074405290785118,0.5968287305923126,0.6862169321061129,0.7756051336199138,0.8649933351337143,0.9543815366475149,-19.35541798215011,-20.95393091911445,-21.574231611587376,-21.966527398607177,-22.254090440274823,-22.481219014183335,-22.668955813297632,-22.828966110991914,-22.96839557323352,-23.09194019490649,-23.202852058771278,-20.753632065209167,-21.53908199281085,-21.990050909326165,-22.30772855093955,-22.55318954533842,-22.753261453079293,-22.92213932295062,-23.068250984045775,-23.197011759171005,-23.312108548218372,-23.416165155753813,-21.340304734126615,-21.92518834951082,-22.303223933313564,-22.583085449798443,-22.805392266885,-22.989826250923993,-23.147432590745225,-23.28503396373315,-23.407141572057952,-23.516894131526854,-23.616563713734813
1,BQSO1,0.0,-21.176396583703095,-21.243892441681783,-21.307436804074026,-21.36746686817027,-21.424351061172597,-21.478402747615057,-21.529890683036523,-21.579047098866354,-21.626074034809758,-21.671148355705906,-21.714425767772312,-21.108918112735804,-21.197736299295457,-21.279834975997638,-21.356159746628222,-21.42746966418821,-21.49438328847078,-21.55741135225334,-21.61698045274367,-21.673450573670557,-21.72712827078965,-21.778276748213376,-21.283483818995816,-21.41164526985215,-21.526263060011487,-21.629928063412432,-21.724552184090655,-21.81158665627042,-21.892159100917937,-21.967163121616466,-22.03731889063315,-22.103215314414726,-22.165340115685268,0.10417663114435637,0.12587613845484896,0.14757564576534155,0.16927515307583418,0.19097466038632677,0.21267416769681932,0.23437367500731196,0.25607318231780457,0.2777726896282972,0.29947219693878974,0.3211717042492823,0.08472806548309349,0.10187720760396944,0.11902634972484541,0.1361754918457214,0.15332463396659735,0.17047377608747327,0.18762291820834923,0.20477206032922518,0.2219212024501012,0.23907034457097703,0.256219486691853,0.06866609455766708,0.08082555772941423,0.09298502090116138,0.10514448407290855,0.11730394724465569,0.12946341041640283,0.14162287358815,0.15378233675989714,0.16594179993164426,0.1781012631033914,0.19026072627513857,0.049905380470870106,0.05909443622833944,0.06828349198580876,0.07747254774327808,0.08666160350074742,0.09585065925821672,0.10503971501568604,0.1142287707731554,0.12341782653062468,0.13260688228809403,0.14179593804556337,-21.1761758762528,-21.24412923041988,-21.30807891355435,-21.368470567039374,-21.425679333305148,-21.48002398417023,-21.531777678168915,-21.58117626824861,-21.628424800167426,-21.673702654769382,-21.717167660178227,-21.103433214948414,-21.186094117406995,-21.26290454741936,-21.33463820162961,-21.40192477304801,-21.46528360968223,-21.525148079751286,-21.5818835621877,-21.635800964690716,-21.68716704059488,-21.7362123732453,-21.113441553064458,-21.20747956052952,-21.29401797236408,-21.37416513597904,-21.44880051518758,-21.51863367366748,-21.58424540291307,-21.64611711231077,-21.704652285158982,-21.76019243972417,-21.81302920210114
2,Ell13,0.0,-18.89701179908417,-19.069241705819586,-19.21785453230061,-19.34855309284394,-19.46519537126683,-19.570513351147433,-19.666512607075934,-19.75470899483779,-19.836276158655632,-19.912141368849486,-19.98304999401432,-21.104941674617702,-21.135027288918803,-21.164301663459707,-21.192807401137813,-21.22058383455139,-21.247667352380248,-21.274091686038943,-21.299888162267834,-21.325085926406327,-21.349712140339392,-21.373792158488435,-22.3174926717217,-22.33464029067637,-22.351521293371928,-22.368143843889925,-22.384515736969945,-22.40064441995772,-22.416537013146698,-22.432200328652208,-22.44764088794344,-22.46286493814616,-22.477878467218176,0.03272847131787268,0.039861432582995196,0.04699439384811771,0.05412735511324021,0.06126031637836272,0.06839327764348524,0.07552623890860775,0.08265920017373025,0.08979216143885277,0.0969251227039753,0.1040580839690978,0.012968808822146854,0.018609764130441988,0.024250719438737127,0.029891674747032262,0.0355326300553274,0.041173585363622534,0.04681454067191766,0.052455495980212805,0.05809645128850795,0.06373740659680306,0.0693783619050982,0.005509238549050433,0.009501509813187748,0.013493781077325066,0.017486052341462385,0.021478323605599703,0.025470594869737007,0.029462866133874343,0.03345513739801165,0.03744740866214897,0.0414396799262863,0.045431951190423606,0.0018384864495829389,0.004857739392138227,0.007876992334693515,0.010896245277248803,0.013915498219804093,0.01693475116235938,0.01995400410491467,0.022973257047469955,0.02599250999002524,0.029011762932580523,0.032031015875135814,-18.963294519404414,-19.127075785654558,-19.269358579458352,-19.395137519855826,-19.507846417693063,-19.609947687172077,-19.70326737762925,-19.789197162802825,-19.86882204698316,-19.94300433566369,-20.012440697905376,-20.592994575565232,-20.637217042306432,-20.679708581858268,-20.720599607355147,-20.760006326876773,-20.798032734391107,-20.83477226366667,-20.870309171382104,-20.904719700957706,-20.938073067547357,-20.9704322961873,-21.405785249952203,-21.430154065121982,-21.453987919194233,-21.477309796183633,-21.500141229977498,-21.52250242381755,-21.544412357723886,-21.565888885292573,-21.586948821103785,-21.60760801981268,-21.627881447854996
3,Ell2,0.0,-19.341636521449253,-19.433693298425837,-19.518551216917015,-19.59725497835221,-19.67063717695786,-19.739372097256233,-19.80401346779568,-19.86502159093465,-19.922783245837778,-19.977626558374567,-20.029832292003587,-21.10408032488904,-21.127494586379374,-21.150414552445195,-21.172860662351788,-21.194852113247364,-21.21640695881444,-21.237542198317712,-21.258273857148986,-21.278617059825052,-21.298586096271734,-21.318194482121548,-21.841787901678696,-21.862358008387048,-21.882545633791594,-21.902364742373464,-21.921828547534666,-21.94094956451317,-21.959739658718526,-21.978210089955603,-21.996371552949068,-22.014234214534024,-22.031807747836368,0.01948884394255126,0.025018615076114872,0.03054838620967848,0.03607815734324208,0.04160792847680568,0.047137699610369295,0.0526674707439329,0.05819724187749651,0.06372701301106011,0.0692567841446237,0.07478655527818734,0.008204049509529392,0.012577154966032535,0.01695026042253568,0.021323365879038825,0.02569647133554197,0.030069576792045114,0.03444268224854827,0.038815787705051404,0.043188893161554553,0.047561998618057696,0.05193510407456083,0.003888359202211421,0.0069833355483927785,0.010078311894574133,0.013173288240755494,0.016268264586936847,0.019363240933118205,0.02245821727929956,0.025553193625480922,0.028648169971662276,0.03174314631784363,0.03483812266402499,0.0015809948204296028,0.00392164650016117,0.0062622981798927365,0.008602949859624303,0.010943601539355871,0.013284253219087437,0.015624904898819006,0.01796555657855057,0.020306208258282134,0.022646859938013703,0.02498751161774527,-19.385473018326415,-19.474608183220536,-19.556977595475942,-19.633536290213872,-19.705050350303697,-19.772143682542776,-19.83533115898458,-19.895042631146474,-19.9516406766052,-20.005433943962963,-20.05668734456598,-20.760837709152465,-20.790410313269064,-20.81919874878078,-20.847243530836938,-20.874582113589938,-20.901249190987812,-20.927276961503807,-20.9526953618701,-20.97753227407123,-21.001813709186333,-21.025563971119475,-21.29933038106501,-21.320201970672976,-21.340679892200065,-21.360778721438006,-21.380512239354772,-21.39989348885385,-21.41893482655565,-21.437647970115982,-21.45604404153533,-21.4741336068598,-21.491926712628555
4,Ell5,0.0,-19.096593453221367,-19.23115940547566,-19.35087137372674,-19.458685082214604,-19.556753324132735,-19.64669279020362,-19.729748509973742,-19.80689970934499,-19.878930472227346,-19.946478377425528,-20.01006886751879,-21.10590712096201,-21.133665202895866,-21.160731273182122,-21.18713899805295,-21.212919645186254,-21.238102306277113,-21.26271409437697,-21.286780319357007,-21.31032464434285,-21.333369225544423,-21.355934837552105,-22.174810363405616,-22.192842555717792,-22.21058015072815,-22.228032619756064,-22.245208984582604,-22.26211784545661,-22.278767406953328,-22.295165501880017,-22.311319613403036,-22.327236895552826,-22.342924192247395,0.02820708010643509,0.03478697628076612,0.04136687245509716,0.047946768629428205,0.05452666480375924,0.06110656097809028,0.06768645715242132,0.07426635332675237,0.0808462495010834,0.08742614567541443,0.09400604184974548,0.011315016426842876,0.016518591614347558,0.02172216680185225,0.026925741989356926,0.03212931717686161,0.037332892364366294,0.04253646755187099,0.04774004273937566,0.052943617926880335,0.05814719311438502,0.06335076830188971,0.005030373639715868,0.008713098028846233,0.0123958224179766,0.01607854680710697,0.019761271196237332,0.0234439955853677,0.027126719974498066,0.03080944436362843,0.034492168752758796,0.03817489314188916,0.04185761753101953,0.0018349415591063238,0.0046200920944381675,0.00740524262977001,0.010190393165101857,0.012975543700433698,0.015760694235765548,0.018545844771097386,0.021330995306429235,0.024116145841761073,0.026901296377092924,0.02968644691242476,-19.155031575698548,-19.2837633647629,-19.398836998180204,-19.502874682119984,-19.597809176170497,-19.685106134532543,-19.76590346714015,-19.841102315974865,-19.91142850269599,-19.97747525094902,-20.039733639286123,-20.650765217595346,-20.689542718161213,-20.726982890817514,-20.76317491014659,-20.798199318367978,-20.832129104782204,-20.865030621591387,-20.896964364985664,-20.92798564460331,-20.958145159977157,-20.9874894990566,-21.372876387828835,-21.396060207923398,-21.41875931398996,-21.440993559890046,-21.462781604105903,-21.484141003818735,-21.505088299910177,-21.52563909391794,-21.545808117842572,-21.565609297587805,-21.585055810718675
5,I19254,0.0,-18.976589787969182,-21.0733651842455,-21.744240241641517,-22.155809319511235,-22.453537860172233,-22.68694649597688,-22.878948197601538,-23.0420441000936,-23.183809601559652,-23.30918424947052,-23.42156847419169,-21.103671859480965,-21.877022905966808,-22.32408898894827,-22.63983871623369,-22.884150372637883,-23.0834591177164,-23.251793363658702,-23.397498119909383,-23.525942894026485,-23.640787184375892,-23.744637401478187,-22.785969381166954,-23.137146616812846,-23.40207030918098,-23.6148642425988,-23.792708960969403,-23.94548130967876,-24.079385003338874,-24.19857270311635,-24.305961074378057,-24.40367732163084,-24.493320671192418,0.6717595710988526,0.935136337542742,1.1985131039866315,1.4618898704305208,1.72526663687441,1.9886434033182991,2.252020169762189,2.5153969362060784,2.7787737026499677,3.042150469093857,3.3055272355377463,0.7437224137855373,0.9519561048312737,1.1601897958770098,1.3684234869227465,1.5766571779684826,1.784890869014219,1.9931245600599556,2.2013582511056917,2.4095919421514282,2.6178256331971648,2.8260593242429004,0.9606816810144598,1.1081176020958874,1.2555535231773147,1.402989444258742,1.5504253653401696,1.6978612864215976,1.845297207503025,1.9927331285844523,2.14016904966588,2.287604970747307,2.4350408918287343,0.5355630990013779,0.6470331986923781,0.7585032983833782,0.8699733980743782,0.9814434977653784,1.0929135974563786,1.2043836971473791,1.3158537968383788,1.427323896529379,1.5387939962203794,1.6502640959113792,-19.02117089988715,-21.086040967050078,-21.75438260952742,-22.165015370844895,-22.46225639600411,-22.69536601826005,-22.887165591660114,-23.050115727728407,-23.191771135078213,-23.317059694063722,-23.42937475563121,-20.578793626411922,-21.59732367177044,-22.11346380776224,-22.46186483067138,-22.725211336248535,-22.93698828375224,-23.114122762445717,-23.26637102224174,-23.399872073133125,-23.51874074573331,-23.625870109184635,-21.443767127769537,-22.087457820849068,-22.48882151774432,-22.781201680501447,-23.011318044992592,-23.201089072325914,-23.362573715122302,-23.503120824894907,-23.627541874926695,-23.73915943438696,-23.840364446195164
6,I20551,0.0,-19.914553714028944,-20.659377635249054,-21.097009747978706,-21.408056240622805,-21.649550315615905,-21.846982480134617,-22.01397719354389,-22.15867778170321,-22.286341820923546,-22.400561702497633,-22.50390115800905,-21.111943532751543,-21.48401776779881,-21.760613168589078,-21.980858264664043,-22.163872439729086,-22.320441477529656,-22.457251829887433,-22.578736296169154,-22.687985275800738,-22.787239441953865,-22.878175270608065,-22.11326911251342,-22.382866983335102,-22.598660657015937,-22.778593760735,-22.93290369272441,-23.067986687932994,-23.188107568571105,-23.296252768192062,-23.394595166269305,-23.48476514457994,-23.568017386048844,0.08182961267766978,0.18625518498809382,0.2906807572985179,0.39510632960894193,0.499531901919366,0.60395747422979,0.7083830465402141,0.8128086188506382,0.9172341911610622,1.0216597634714861,1.12608533578191,0.07954077945348745,0.16215203930974365,0.24476329916599984,0.327374559022256,0.40998581887851215,0.49259707873476827,0.5752083385910246,0.6578195984472807,0.7404308583035367,0.8230421181597931,0.9056533780160492,0.14827584143705796,0.20674634323076965,0.2652168450244813,0.323687346818193,0.3821578486119047,0.44062835040561626,0.4990988521993281,0.5575693539930398,0.6160398557867515,0.674510357580463,0.7329808593741747,0.08058351478074897,0.12478665308937227,0.16898979139799553,0.2131929297066188,0.257396068015242,0.3015992063238654,0.3458023446324887,0.390005482941112,0.43420862124973536,0.4784117595583585,0.5226148978669819,-19.928062051562396,-20.66963496646768,-21.106170840844335,-21.416666826403095,-21.657829828975107,-21.855040957535117,-22.02187763058958,-22.166459602221114,-22.294031332973905,-22.408177335513635,-22.511456323200424,-20.87645861378046,-21.29387743120609,-21.59463736066812,-21.829900423278595,-22.02315360632977,-22.187150986104083,-22.329596777241303,-22.455503037964945,-22.56831413716875,-22.670499255172555,-22.763888977587282,-21.269191989617582,-21.616396563456025,-21.879061404273102,-22.090398054643128,-22.267224689177766,-22.41924560425994,-22.552571885685254,-22.67130201664285,-22.77831885967781,-22.875727436465702,-22.965111812543995
7,I22491,0.0,-20.034366638696067,-21.328577007650686,-21.902391365028862,-22.27583407183443,-22.553181690876375,-22.77390251864267,-22.957244711670306,-23.114053605570707,-23.251046984622562,-23.372675705962944,-23.48204130894061,-21.111598596977935,-21.897443446036192,-22.348538789287282,-22.666278710034057,-22.91177677824429,-23.111873280697147,-23.280768659248643,-23.426893419745962,-23.555664364330134,-23.670769277026736,-23.774832523320384,-22.142025520148536,-22.724901489731085,-23.10210896622591,-23.381518435477613,-23.603540502491654,-23.78777866355837,-23.9452420760568,-24.082734535337174,-24.204756392920782,-24.3144396856384,-24.414052148761655,0.06538245718993216,0.3367265835870264,0.6080707099841204,0.8794148363812149,1.150758962778309,1.422103089175403,1.6934472155724973,1.9647913419695917,2.236135468366686,2.5074795947637796,2.778823721160874,0.04608475577358598,0.26059630459202343,0.4751078534104609,0.6896194022288986,0.904130951047336,1.1186424998657734,1.3331540486842106,1.547665597502649,1.7621771463210862,1.976688695139523,2.1912002439579608,0.09173668036674038,0.24355692719124375,0.3953771740157472,0.5471974208402506,0.6990176676647539,0.8508379144892569,1.0026581613137608,1.154478408138264,1.3062986549627673,1.4581189017872707,1.6099391486117738,0.13880118626568755,0.25364832552872296,0.3684954647917583,0.48334260405479357,0.598189743317829,0.7130368825808644,0.8278840218439,0.9427311611069354,1.0575783003699706,1.172425439633006,1.2872725788960413,-20.040576352706886,-21.335573391102443,-21.90952848179571,-22.28302999900812,-22.560409911900727,-22.78115115149562,-22.964507413088477,-23.12132659152015,-23.258327816782725,-23.379962721252312,-23.489333322369276,-20.89050633876862,-21.7475827327555,-22.220523050533178,-22.548863655692024,-22.80062306592935,-23.00485338215543,-23.17668195535621,-23.32499603152033,-23.455463550678985,-23.57192182120851,-23.67708979145435,-21.26859398321195,-22.010159337352093,-22.446692657120828,-22.757187358835516,-22.99834958899538,-23.195560201733585,-23.36239650591174,-23.50697820064935,-23.634549715899773,-23.74869554594906,-23.851974392448728
8,M82,0.0,-19.4967575304816,-20.09257695324638,-20.475085578588626,-20.757379652981555,-20.981215456390025,-21.166699445751405,-21.32507140378211,-21.463255764550038,-21.585822113830865,-21.695945061910116,-21.795919962973706,-21.11243057352209,-21.31597215198788,-21.487313347588763,-21.635264363593187,-21.76545095492824,-21.881685391800147,-21.98667082283457,-22.08239373457819,-22.170356844224987,-22.251724456475593,-22.327417020624793,-22.284205010693338,-22.40850164041625,-22.520019079899903,-22.621141786333464,-22.713643426969487,-22.79887917552649,-22.87790782318773,-22.951572363782503,-23.020554925124816,-23.085415262724823,-23.14661838657598,0.05884064010434189,0.1115481808827727,0.16425572166120345,0.21696326243963432,0.269670803218065,0.32237834399649584,0.3750858847749267,0.4277934255533575,0.48050096633178824,0.5332085071102189,0.5859160478886497,0.036032201734746444,0.07771487333357573,0.119397544932405,0.1610802165312343,0.20276288813006355,0.24444555972889284,0.28612823132772214,0.3278109029265513,0.3694935745253807,0.4111762461242099,0.45285891772303927,0.052697201548331275,0.08219726367287457,0.11169732579741788,0.14119738792196115,0.17069745004650447,0.20019751217104773,0.22969757429559112,0.2591976364201343,0.2886976985446777,0.31819776066922095,0.34769782279376416,0.0655066300976179,0.08781661174887884,0.11012659340013982,0.13243657505140083,0.15474655670266171,0.17705653835392268,0.19936652000518362,0.22167650165644462,0.2439864833077056,0.26629646495896653,0.2886064466102275,-19.519083696408625,-20.108598506891553,-20.488536127972633,-20.76943391359047,-20.992392760678076,-21.17727482026107,-21.33520803389051,-21.473058396855713,-21.595361984064233,-21.70527281198828,-21.805072881349208,-20.778213216466717,-21.028282080073815,-21.23140017337456,-21.40244143215904,-21.550168876069083,-21.680182389398347,-21.796278871831717,-21.901151765219428,-21.996781124395692,-22.08466523609423,-22.165965253614203,-21.339432641943887,-21.51756687380687,-21.670552684915663,-21.804620277271653,-21.923937778695404,-22.031431492244305,-22.129234940682245,-22.218951664959874,-22.301817414223738,-22.378804677647956,-22.450692530477973
9,Mrk231,0.0,-19.906990723920845,-20.781329805849932,-21.25928949709443,-21.590021519088637,-21.843180056607842,-22.048328700906403,-22.220806298232844,-22.369603408031313,-22.50044442961721,-22.617200132992494,-22.722610557852146,-21.12494144563517,-21.567637929184606,-21.881216837506983,-22.124230439568883,-22.32267565541325,-22.49039399350255,-22.635637309355722,-22.76372347560671,-22.87828106228835,-22.981896824293962,-23.07647992146803,-22.54494567874412,-22.774972300105638,-22.964682363026103,-23.126122889922488,-23.266636595735747,-23.391031474630132,-23.50262797611569,-23.603815677996558,-23.696371694891376,-23.781653606473434,-23.860721934104497,0.6531413478113379,0.7833160266015793,0.9134907053918208,1.0436653841820622,1.1738400629723038,1.3040147417625452,1.4341894205527868,1.5643640993430283,1.6945387781332695,1.8247134569235108,1.9548881357137522,0.5992272780790815,0.7021695837314084,0.8051118893837355,0.9080541950360622,1.0109965006883892,1.113938806340716,1.2168811119930434,1.31982341764537,1.4227657232976971,1.525708028950024,1.6286503346023506,0.5664392521883439,0.6393163927966906,0.7121935334050373,0.7850706740133845,0.8579478146217312,0.9308249552300781,1.003702095838425,1.0765792364467717,1.1494563770551185,1.2223335176634655,1.2952106582718121,0.34064448800297364,0.39574154864614436,0.45083860928931496,0.5059356699324857,0.5610327305756563,0.6161297912188269,0.6712268518619977,0.7263239125051683,0.781420973148339,0.8365180337915095,0.8916150944346805,-19.920960023410906,-20.791444371039344,-21.268292155252805,-21.598495829503698,-21.851345670992664,-22.056291868731396,-22.22862646837711,-22.37731719597077,-22.508075983548686,-22.62476621692884,-22.73012328377864,-20.86915383000116,-21.37148312858958,-21.71359741315646,-21.973348883618883,-22.18279860639535,-22.358303544630346,-22.509347104402764,-22.641921313707538,-22.76005481249211,-22.86658678679202,-22.96359354376241,-21.285197221141935,-21.69819199227678,-21.996661627652124,-22.230524393052203,-22.422832900420225,-22.586149969160072,-22.72808246300712,-22.853587662184264,-22.966076751880152,-23.06799763663948,-23.16116663253557
