,lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
0,100.07000000000001,22.105916822518004
1,101.93,22.044420174847392
2,104.07,21.973665965309163
3,104.712855,21.952411434652394
4,106.0,21.728868311156134
5,107.97,21.38673129427646
6,109.98,21.03764734772552
7,114.11,20.320375337681806
8,118.11999999999999,19.62394416561142
9,120.22644299999999,19.258110804321504
10,120.87,19.16440440427059
11,125.12,18.545574379976458
12,126.86,18.292218104439137
13,128.03,18.12185784667358
14,131.01,17.68794881919782
15,131.92000000000002,17.555446480720835
16,134.06,17.243847393992663
17,136.87,16.834691728794503
18,138.038426,16.6645606873833
19,140.06,16.45416030438617
20,142.98999999999998,16.149214442120698
21,147.0,15.731866043080286
22,151.12,15.303067449355504
23,154.99,14.900288465061658
24,158.489319,14.5360890917597
25,158.97000000000003,14.498267094060898
26,161.92000000000002,14.266148832621184
27,166.08,13.938822904639458
28,169.95,13.63431555148269
29,173.11,13.385673970484937
30,177.14000000000001,13.068577498492331
31,180.02,12.841967805507293
32,181.970086,12.688527439574157
33,182.1,12.680728943009822
34,185.91,12.45202200225046
35,191.12,12.13927580079184
36,193.78,11.979601793162235
37,197.84,11.735888403143363
38,201.98000000000002,11.487373123192247
39,204.79000000000002,11.318695274340934
40,208.929613,11.070202378551313
41,210.04,11.020090877938642
42,215.93,10.75428098136139
43,219.94,10.573312939578148
44,223.0,10.43521721325672
45,227.14999999999998,10.247931784276162
46,229.77999999999997,10.129276558376507
47,234.04999999999998,9.936646831648241
48,239.88329199999998,9.673441623751438
49,240.06,9.667297721309497
50,246.21,9.453417683176411
51,251.95,9.253818208745532
52,257.21999999999997,9.070506638148885
53,260.2,8.96691206739139
54,263.82,8.841037443225572
55,268.73,8.670289751121107
56,273.72,8.496758818940602
57,275.42287,8.437540310470268
58,278.81,8.3471436451586
59,284.0,8.20863162761785
60,289.94,8.050088211192596
61,296.01,7.888096510040697
62,300.82,7.759717561954759
63,307.83000000000004,7.5726370958409515
64,316.227766,7.348520320427689
65,317.92,7.314790132838354
66,328.33,7.1072833679236
67,338.31,6.908345361297255
68,347.78999999999996,6.7193733066760375
69,356.71000000000004,6.541564339288562
70,363.078055,6.414625979582674
71,365.86,6.373097765672009
72,375.24,6.233070749392964
73,384.87,6.089296290285906
74,394.74,5.941967166707955
75,404.87,5.79074371924487
76,414.3,5.649966039580223
77,416.86938299999997,5.611607618370696
78,422.0,5.553115163424792
79,429.84000000000003,5.46373391941564
80,440.87,5.337989888198812
81,451.14,5.220904271208891
82,459.53000000000003,5.125251217432898
83,470.23,5.003264516896175
84,478.630092,4.907499568603089
85,480.08000000000004,4.894786946773178
86,490.13,4.806664438229337
87,500.39,4.716709842853235
88,506.19,4.665928415562261
89,512.05,4.615050615962071
90,520.37,4.542135451483984
91,530.0400000000001,4.457395690298515
92,539.9,4.370910727183862
93,549.5408739999999,4.2867104990649905
94,549.93,4.284121163136369
95,560.1600000000001,4.215938048285993
96,570.5699999999999,4.146517920171392
97,579.84,4.084451276063574
98,590.62,4.012742088683609
99,600.22,3.9486279432580385
100,609.97,3.883801900778943
101,619.88,3.817929817509421
102,629.9599999999999,3.7507794467125724
103,630.957344,3.7441171220250826
104,640.19,3.695242041733443
105,650.6,3.640532650715504
106,658.13,3.600889057910021
107,665.75,3.5607770238478986
108,675.0100000000001,3.511806763664795
109,684.4,3.462048530222102
110,695.52,3.404345259401787
111,705.2,3.3528485386877
112,716.66,3.293254531342304
113,724.43596,3.2522975322174
114,726.6300000000001,3.243739449366948
115,735.04,3.2109720373259716
116,745.27,3.171722154223808
117,755.63,3.1315552612601305
118,764.3800000000001,3.097767674581349
119,775.02,3.056811881915952
120,785.8,3.0153071353996936
121,794.9000000000001,2.980081095093761
122,804.0999999999999,2.9444912148943576
