,lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
0,100.09,25.122853512611563
1,101.94999999999999,25.052961924474314
2,104.09,24.97254902199378
3,104.712855,24.949144546118443
4,106.02000000000001,24.691137811857637
5,107.99,24.302295513190806
6,110.0,23.905557939432082
7,114.13,23.090370785390803
8,117.87,22.352162563591484
9,120.22644299999999,21.887043420329867
10,120.89000000000001,21.777235365391522
11,125.14000000000001,21.073928439751253
12,126.88,20.785986310244144
13,128.05,20.59237005074782
14,131.04,20.0975729431874
15,131.95,19.94698251937147
16,134.09,19.59284679696993
17,136.9,19.127836806861904
18,138.038426,18.939445538796516
19,140.09,18.696774605576373
20,143.02,18.350198843868963
21,147.03,17.875875028821127
22,151.15,17.388539826764607
23,155.02,16.9307759385341
24,158.489319,16.52040670201187
25,159.0,16.474738639502704
26,161.95999999999998,16.21003824101557
27,166.11,15.838921131681472
28,169.98,15.492843252624837
29,173.14,15.210257699692715
30,177.17,14.849871698281506
31,180.05,14.592325378673083
32,181.970086,14.420620142515762
33,182.14000000000001,14.409028040322683
34,185.95000000000002,14.149097085817376
35,191.16,13.793653448946161
36,193.82,13.61217935998688
37,197.88,13.335192586842192
38,202.02,13.052747956119264
39,204.83,12.86104038047048
40,208.929613,12.581351078103578
41,210.09,12.521833340584967
42,215.97000000000003,12.22024069135523
43,219.99,12.014049796567873
44,223.04999999999998,11.85709851298182
45,227.19,11.644752689629223
46,229.82,11.509857325004218
47,234.1,11.290331949503948
48,239.88329199999998,10.99370072063432
49,240.1,10.98513527227098
50,246.26,10.741658310079064
51,252.0,10.514782736651528
52,257.27,10.306482703311225
53,260.25,10.188697858115477
54,263.87,10.045616280933384
55,268.78,9.85154658871384
56,273.78,9.653919573279353
57,275.42287,9.588984479276316
58,278.87,9.48441940379005
59,284.05,9.32728964014838
60,290.0,9.146802248258894
61,296.07,8.962675434552239
62,300.88,8.81676897555583
63,307.89,8.604128399911378
64,316.227766,8.351211586749201
65,317.98,8.311512295958147
66,327.64,8.092651420066273
67,338.37,7.8495479311523795
68,347.85,7.634765093342712
69,356.78000000000003,7.4324435617909055
70,363.078055,7.289752584220542
71,365.93,7.24136320003231
72,375.31,7.082210733727027
73,384.94,6.918815712066518
74,394.82000000000005,6.7511809783807815
75,404.94,6.57947350977843
76,414.38000000000005,6.4193031088914925
77,416.86938299999997,6.377065158985726
78,422.08000000000004,6.309550133366544
79,429.93,6.207836350116103
80,440.96000000000004,6.064919492497864
81,451.23,5.931849464528408
82,459.62,5.8231386600890955
83,470.32,5.684497443770724
84,478.630092,5.576823293141742
85,480.16999999999996,5.561477990979288
86,490.22999999999996,5.461228072988829
87,500.49,5.358987458727684
88,506.29,5.301213260847817
89,512.15,5.243014548851745
90,520.47,5.160126472051245
91,530.15,5.063692861390088
92,540.0,4.9655314972963485
93,549.5408739999999,4.8706309099298295
94,550.04,4.866845818768404
95,560.27,4.789211989123065
96,569.37,4.720156115738061
97,579.96,4.63963405627881
98,589.38,4.568264408414773
99,600.3399999999999,4.485022141857891
100,610.09,4.4111780642311
101,620.01,4.3360096985810745
102,630.0799999999999,4.259660139675253
103,630.957344,4.252995922134695
104,640.32,4.1966299183904034
105,650.72,4.134311474823499
106,658.26,4.089091889962494
107,664.3499999999999,4.052583513728605
108,675.1400000000001,3.9876441745654403
109,684.53,3.9310932605939763
110,695.6600000000001,3.8649818692699722
111,705.34,3.8065272795730847
112,716.8,3.738355792975322
113,724.43596,3.692558757986485
114,726.7700000000001,3.6821851718831566
115,735.18,3.6448474187333564
116,745.41,3.599916525739009
117,755.7800000000001,3.554066955295081
118,764.53,3.5154653381962992
119,775.1700000000001,3.46864819202818
120,784.14,3.4293100860800574
121,795.0500000000001,3.381011664187748
122,804.26,3.340370408040344
123,815.45,3.290789224248873
124,824.8900000000001,3.2497658530771587
125,831.763771,3.2176017978437805
126,834.44,3.2081022746419228
127,844.1,3.178687305121229
128,855.8499999999999,3.139944247101752
129,865.76,3.1080063581338346
130,875.7800000000001,3.0757447249291396
131,885.9200000000001,3.043459879829778
132,894.12,3.017203500360866
133,904.47,2.982803454445837
134,914.95,2.9582721389782516
135,925.54,3.108460679273889
136,934.1099999999999,3.336517606463087
137,944.9200000000001,3.692414498285167
138,954.992586,3.9188987142216543
139,955.86,3.9384653521947746
140,964.71,4.037494243392498
141,975.88,2.9358002670849905
142,984.91,3.700199181493514
143,994.0200000000001,3.7445654728846165
144,1005.5300000000001,4.200833073753067
145,1014.84,4.170369057600615
146,1024.23,3.369060818430741
147,1036.0900000000001,3.727198881097971
148,1045.6699999999998,4.588548549761722
149,1055.3500000000001,4.467474064653693
150,1065.11,4.035100856528245
151,1074.97,4.300046494631017
152,1084.91,3.930287409716369
153,1094.95,4.370371171029944
154,1096.4782,4.345573278746451
155,1105.09,4.210937242567054
156,1115.31,4.127546191425494
157,1125.6299999999999,3.84704228264067
158,1136.05,4.292428516212582
159,1143.9199999999998,4.111432119687721
160,1154.5,4.1775217810304115
161,1165.19,4.181278798965511
162,1175.97,3.4082307450216733
163,1184.1200000000001,4.107400347095673
164,1195.08,3.6981831493939614
165,1206.1299999999999,3.2060318798133123
166,1214.49,2.914211280836458
167,1225.73,3.608513781733607
168,1234.23,4.102027882056184
169,1245.6499999999999,4.172097539195459
170,1254.2800000000002,4.063132424581792
171,1258.92541,4.002483507140763
172,1265.89,3.916912366819856
173,1274.6599999999999,4.228327941749568
174,1286.46,4.260739693650434
175,1295.3799999999999,3.7557128416975303
176,1304.36,3.811026418991579
177,1316.42,4.203524697629243
178,1325.55,4.056242848040677
179,1334.74,3.856919427699063
180,1343.99,4.106768436604403
181,1356.42,4.039804195598281
182,1365.8300000000002,3.8120626824954975
183,1375.2900000000002,3.8335166937651746
184,1384.83,3.8201579440307905
185,1394.43,3.3530746235433595
186,1404.0900000000001,3.444532732302882
187,1413.8300000000002,3.6204290800583427
188,1423.6299999999999,3.615701857060758
189,1433.49,3.648974063310125
190,1443.43,3.7132895085554307
191,1445.43977,3.7094512239817274
192,1446.76,3.7076911427139283
193,1453.44,3.644494622509426
194,1463.51,3.4719676990873705
195,1473.6499999999999,3.4994354753038897
196,1483.87,3.4996326225359233
197,1494.1599999999999,3.495145469406534
198,1504.51,3.34230234453878
199,1511.46,3.12087595151164
200,1518.43,3.2104829012383798
201,1525.44,3.2174185364728767
202,1536.02,2.9520668532747285
203,1546.66,2.984439198338216
204,1553.8,2.9319125614729247
205,1564.5700000000002,3.015905634436624
206,1575.4199999999998,3.122306078415839
207,1586.34,3.165279222033629
208,1593.66,3.1764176699532465
209,1604.71,3.170215541471248
210,1615.8300000000002,3.1554141126278257
211,1623.29,3.082927959824594
212,1634.54,3.195169258881384
213,1645.8700000000001,3.2020519289536873
214,1653.47,3.1136351754276075
215,1659.58691,3.1688509089548376
216,1664.93,3.219215316780192
217,1672.61,3.076392914080734
218,1676.4699999999998,3.2542895424114757
219,1684.2099999999998,3.270397128753428
220,1695.8799999999999,3.149901997307767
221,1703.71,3.0900885672118354
222,1715.5200000000002,2.9782697435294647
223,1723.44,2.9667982969956492
224,1735.3799999999999,3.064869116236336
225,1743.3899999999999,3.014530653264635
226,1755.48,3.0854374451088478
227,1763.58,2.9872579656992633
228,1775.81,2.946672065306767
229,1784.0,2.9893525694592977
230,1796.37,3.069518976830093
231,1804.6599999999999,3.079677129384975
232,1812.9899999999998,2.8832109413007974
233,1825.56,2.946339645476294
234,1833.99,2.8758001057944664
235,1846.7,2.714588117733254
236,1855.22,2.714229561613543
237,1863.78,2.7522406648547717
238,1876.7,2.873260638438496
239,1885.3700000000001,2.689872054922311
240,1894.07,2.589782465926831
241,1902.81,2.723525536292292
242,1905.46072,2.701995806513759
243,1916.0,2.61902216472426
244,1924.84,2.565901753729049
245,1933.7299999999998,2.6517951379205167
246,1947.1299999999999,2.700413247950401
247,1956.1200000000001,2.551546222515225
248,1965.1499999999999,2.703825833229393
249,1974.2199999999998,2.766118080092904
250,1983.3300000000002,2.6483819631057575
251,1997.08,2.6046496394423917
252,2006.3,2.6677992718659387
253,2015.5600000000002,2.622529540438828
254,2024.86,2.694862445161061
255,2034.2099999999998,2.560400145069972
256,2043.6000000000001,2.611081481128226
257,2053.03,2.540200453335823
258,2067.2599999999998,2.5490427634645734
259,2072.03,2.662580624273718
260,2076.81,2.5127876441201993
261,2086.39,2.589544001887832
262,2096.02,2.492200154842144
263,2105.7000000000003,2.5303411029831344
264,2115.42,2.538880687273468
265,2125.1800000000003,2.559072907713144
266,2134.99,2.4877959233394997
267,2144.84,2.455150575115197
268,2154.74,2.519587022077574
269,2164.69,2.4937892642266295
270,2174.68,2.471896142525028
271,2184.72,2.424191816010105
272,2187.7616199999998,2.4401254116718345
273,2194.8,2.4785535213821714
274,2204.93,2.447405110582113
275,2215.11,2.398611558563891
276,2225.34,2.3508638653275042
277,2235.61,2.3926436591165867
278,2245.93,2.3658913116875047
279,2256.29,2.3109024512838916
280,2266.71,2.3371428214184813
281,2277.17,2.3458766785785397
282,2282.42,2.361078850671303
283,2292.96,2.2677456818822987
284,2303.54,2.289849000118763
285,2314.17,2.232975177137064
286,2324.85,1.9794822129371998
287,2335.5899999999997,2.149930479275539
288,2346.3700000000003,2.1380322326393464
289,2357.2000000000003,2.1775118447849904
290,2362.63,2.123316708492363
291,2373.54,2.123958294688944
292,2384.49,2.074657367910994
293,2395.5,2.109460671671246
294,2406.55,2.063296462456967
295,2417.6600000000003,2.069888483780892
296,2423.2400000000002,2.1015039238337723
297,2434.42,2.0489525474522665
298,2445.66,2.083533401608964
299,2456.95,2.0713831145474977
300,2462.61,2.052926528651315
301,2473.98,2.019439215640786
302,2485.4,2.028832761412092
303,2496.87,1.9056651659652348
304,2502.63,2.026111297632724
305,2511.88643,1.9543979105186244
306,2514.18,1.936899273795143
307,2519.9700000000003,1.981680630409129
308,2525.78,1.9410170901547699
309,2537.44,1.9364212159093606
310,2543.2900000000004,1.90823688191831
311,2555.0299999999997,1.947031420199519
312,2566.82,1.9277457163098637
313,2572.7400000000002,1.9607842432796043
314,2584.61,1.9471629519165674
315,2596.54,1.9335769699484944
316,2602.53,1.9049743578790257
317,2614.5400000000004,1.8887547884375704
318,2626.6099999999997,1.901254528391079
319,2632.6699999999996,1.9075717772824012
320,2644.82,1.9442279297625276
321,2657.03,1.9424043916376177
322,2663.15,1.8724699499239037
323,2675.44,1.8994578243256117
324,2687.79,1.8887330081222837
325,2693.99,1.8461349789351877
326,2706.42,1.8468985752584774
327,2712.66,1.8192167523346907
328,2725.18,1.817084312750426
329,2737.76,1.8374071825611247
330,2744.07,1.7527242205981288
331,2756.74,1.7557320545012733
332,2763.09,1.766653298801586
333,2775.8500000000004,1.7916460967971755
334,2782.25,1.761843098926625
335,2795.09,1.6415533094488328
336,2807.9900000000002,1.678697829366004
337,2814.4599999999996,1.7600756924562444
