,lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
0,102.01,17.160475462145893
1,103.91,17.111568026876522
2,104.712855,17.090901932695896
3,106.08,16.906046943240987
4,108.05,16.639678467895536
5,110.06,16.367901495588786
6,113.93,15.844629414580314
7,117.94000000000001,15.302427594207316
8,120.22644299999999,14.993272093765379
9,120.96000000000001,14.910115028712976
10,124.92,14.461203795355404
11,126.95,14.231080107548703
12,128.13,14.097313628922326
13,131.10999999999999,13.759496589680131
14,132.02,13.656337695148789
15,133.86,13.447752677631657
16,136.98,13.094065039238474
17,138.038426,12.974080362202132
18,139.84,12.828100818031201
19,143.1,12.563946631837862
20,147.11,12.239020777205894
21,150.88,11.933541856426956
22,155.11,11.59078964562751
23,158.489319,11.316967173324526
24,159.09,11.280169859107078
25,162.05,11.098842249201867
26,165.82,10.86789458404888
27,170.07999999999998,10.60692984841398
28,172.84,10.437854104428409
29,176.87,10.190979014564244
30,180.15,9.99004842043389
31,181.82,9.887745343791686
32,181.970086,9.878551176385383
33,186.06,9.687408971132157
34,190.82999999999998,9.464482935100476
35,193.93,9.319604379495972
36,197.99,9.129860207043606
37,202.14,8.935909883684097
38,204.95,8.804584484793665
39,208.929613,8.618597201132301
40,210.21,8.573609452207256
41,216.1,8.36665808958065
42,220.10999999999999,8.22576251053692
43,223.17,8.118246183415229
44,226.79999999999998,7.990702308472239
45,229.95999999999998,7.8796724050182485
46,234.23,7.729641511476098
47,239.88329199999998,7.531007202546567
48,240.24,7.521348926149267
49,245.84,7.369722485745688
50,252.14000000000001,7.199142781390485
51,256.83,7.072155599067935
52,259.8,6.99173950595681
53,264.02,6.877478201199088
54,268.93,6.744534345724286
55,273.93,6.609153639573797
56,275.42287,6.568732481844833
57,279.03000000000003,6.493777306870146
58,284.21,6.386138335446805
59,290.16,6.262498944330076
60,296.24,6.136158248973164
61,301.05,6.0362077776549325
62,308.07,5.890334172964161
63,316.227766,5.7208181359210375
64,318.15999999999997,5.690829088705501
65,327.83,5.540746826879708
66,337.79,5.386163654603398
67,348.05,5.226924369120205
68,356.98,5.088327286199258
69,363.078055,4.993683152120044
70,366.14,4.958093836719302
71,374.67,4.858948685979032
72,385.16,4.737022064326871
73,395.03999999999996,4.6221859799346205
74,405.18,4.504327833593047
75,413.66,4.405763935167147
76,416.86938299999997,4.368460898417809
77,422.32,4.320080530944171
78,430.17,4.250403050623159
79,441.21,4.152410987557178
80,451.49,4.061164591110615
81,459.88,3.986693965322148
82,469.51,3.9012171580645227
83,478.630092,3.8202664400828374
84,480.45,3.8078428266439097
85,490.51,3.7391677192636625
86,499.63,3.6769104138747704
87,506.58000000000004,3.6294668265294847
88,512.4399999999999,3.589477355514122
89,519.57,3.540806651226556
90,530.45,3.4665370315898074
91,540.3100000000001,3.399227758049316
92,549.5408739999999,3.3362291869694523
93,550.36,3.3319649509434073
94,560.59,3.2787047483348353
95,569.7,3.2312780586430874
96,580.29,3.176129172797323
97,589.7199999999999,3.127050679053625
98,600.6800000000001,3.0699892494768553
99,610.44,3.019196355957397
100,620.36,2.9675683613769643
101,630.44,2.915105704235556
102,630.957344,2.9124120844527375
103,640.69,2.8722424977554963
104,649.6,2.8355116459351435
105,658.6400000000001,2.7982317989234713
106,664.73,2.773118314891715
107,675.53,2.7285456005821955
108,684.93,2.6897550082868737
109,694.4599999999999,2.6505650564002328
110,705.74,2.603999773645845
111,715.56,2.5635927068862636
112,724.43596,2.5270016127664774
113,725.51,2.523716559885074
114,735.61,2.4928215559023807
115,745.84,2.4616288750912974
116,754.48,2.4352628321197662
117,764.9699999999999,2.4032314897519007
118,775.61,2.370779892889737
119,784.59,2.343419605697798
120,795.51,2.3100719123129463
121,804.72,2.2819748597630856
122,815.91,2.2478015460884984
123,825.36,2.2191054349477612
124,831.763771,2.199228903639912
125,834.92,2.191874781743737
126,844.59,2.1703369270002217
127,854.37,2.148067524625705
128,864.26,2.125695439620187
129,874.2700000000001,2.1030660471990292
130,884.39,2.0802802021468705
131,894.63,2.057112333679074
132,904.99,2.033414750795639
133,915.47,2.012123276496565
134,923.94,2.039287545909432
135,934.6400000000001,2.0831686363483555
136,945.46,2.1813047773716407
137,954.21,2.2851503158146853
138,954.992586,2.2854575079429575
139,965.26,2.289995838648834
140,974.19,1.9279191247678766
141,985.4699999999999,2.155409205655088
142,994.59,2.1881192727553866
143,1006.11,2.3933207996189214
144,1015.42,2.3751290577004767
145,1024.81,2.018524827774139
146,1034.3,2.1306357878379365
147,1043.87,2.568176959893842
148,1055.95,2.5378071707021324
149,1065.72,2.303326022738307
150,1075.59,2.4455874647646176
151,1085.54,2.224066518783035
152,1095.58,2.477025573792574
153,1096.4782,2.473018409950237
154,1105.72,2.4355417011539813
155,1115.95,2.373955832411773
156,1126.28,2.2694737732615278
157,1134.08,2.527283321434625
158,1144.5800000000002,2.4109774285907157
159,1155.1699999999998,2.4843354943795743
160,1165.86,2.505645669760395
161,1173.94,2.138293544790987
162,1184.8,2.4628315864781447
163,1195.76,2.0570103377572653
164,1204.05,1.8292005829309794
165,1215.19,1.7093480514756325
166,1223.62,2.076598810078095
167,1234.94,2.50997949588828
168,1246.36,2.6261478912904304
169,1255.0,2.5372043200360137
170,1258.92541,2.4397392478409134
171,1263.7,2.323705058975147
172,1275.3999999999999,2.704048609850433
173,1284.24,2.790453248289538
174,1296.1200000000001,2.3758973461013664
175,1305.1,2.3559138543800047
176,1314.15,2.7259867975784093
177,1326.31,2.642680635069305
178,1335.5,2.422543448107243
179,1344.7600000000002,2.7473976960649478
180,1354.08,2.688099459668167
181,1363.47,2.4826186581911527
182,1376.0800000000002,2.563233863023405
183,1385.62,2.5757538506601767
184,1395.23,2.375931273216715
185,1404.9,2.4210242114187674
186,1414.64,2.4281225845405863
187,1424.4399999999998,2.4828914733079204
188,1434.32,2.4586107162692725
189,1440.94,2.5502492758243487
190,1445.43977,2.5684678074946126
191,1447.59,2.578022982374644
192,1454.27,2.5211268076959406
193,1464.3500000000001,2.380362262671789
194,1474.5,2.3783858041405255
195,1484.72,2.41106443210215
196,1495.01,2.441593146556662
197,1505.38,2.340474817003046
198,1512.3200000000002,2.159076249297926
199,1515.81,2.268404704443334
200,1526.32,2.201892547875494
201,1533.36,2.0141676751602136
202,1543.99,2.150474952580181
203,1554.69,2.069598316493036
204,1565.47,2.078014636397763
205,1576.32,2.149147042795378
206,1583.6,2.226254038055713
207,1594.58,2.2433027479401195
208,1605.63,2.2148825443174136
209,1616.7599999999998,2.2195462966865804
210,1624.22,2.1300769429286266
211,1635.48,2.2169999987845848
212,1646.82,2.2277060106324145
213,1654.42,2.109622829860237
214,1659.58691,2.164362970663256
215,1665.88,2.232755838865586
216,1673.5700000000002,2.0524641911071315
217,1677.43,2.218083774937088
218,1685.17,2.296843152875913
219,1696.8600000000001,2.191237560899797
220,1704.69,2.1244413850937245
221,1716.5,2.0266070547910786
222,1724.43,2.0178829303795647
223,1736.3799999999999,2.100387072029301
224,1744.4,2.064827393872889
225,1756.49,2.1545920074750073
226,1764.5900000000001,2.0232171704342425
227,1776.8300000000002,2.0420748611281985
228,1785.03,2.067665075481992
229,1793.2699999999998,2.1624407103936094
230,1805.7,2.1488058987372263
231,1814.0300000000002,2.0087509799039456
232,1826.61,2.0389602453394002
233,1835.04,1.9739893779006783
234,1843.5099999999998,1.8590999310197804
235,1856.29,1.8381522992443515
236,1864.8500000000001,1.8696292986185556
237,1873.46,1.9923573236900392
238,1886.45,1.8588253998431834
239,1895.1599999999999,1.7973024763092251
240,1903.9,1.8727053681936348
241,1905.46072,1.8641982363006058
242,1917.1,1.8027438382415042
243,1925.9499999999998,1.7837424965842914
244,1934.84,1.8311764098800407
245,1943.77,1.8564575781287518
246,1957.24,1.7608271835386216
247,1966.28,1.877434802907977
248,1975.35,1.9124903634920543
249,1984.47,1.8251384927673338
250,1993.63,1.7812538769955746
251,2002.83,1.8212685161767777
252,2016.7199999999998,1.7553582985927458
253,2026.03,1.8212653888945933
254,2035.3799999999999,1.7303357341494028
255,2044.77,1.7738723343571738
256,2054.21,1.7125585032561472
257,2063.69,1.7097529271080822
258,2073.2200000000003,1.7815619196512196
259,2078.0,1.6978718865301488
260,2082.79,1.7444731671473188
261,2097.22,1.6622088914282704
262,2106.9,1.6685805900450144
263,2116.63,1.6700108573529602
264,2126.4,1.6813003796138681
265,2136.21,1.5915230568277376
266,2146.08,1.6038568164710498
267,2155.98,1.6403924173290831
268,2165.9300000000003,1.600521586878319
269,2175.9300000000003,1.5800233251187565
270,2185.9700000000003,1.5416245183121562
271,2187.7616199999998,1.54895069253809
272,2196.06,1.5841417303657233
273,2206.2000000000003,1.5488805598151991
274,2216.38,1.494979107329565
275,2226.61,1.4497094024250425
276,2236.89,1.4989197451016318
277,2247.2200000000003,1.450629535359333
278,2257.5899999999997,1.4155308436819238
279,2262.79,1.4446987921175527
280,2273.24,1.467238936569922
281,2283.73,1.488337699087181
282,2294.27,1.4368152091855517
283,2304.86,1.4279840668650343
284,2315.5,1.3850411721256286
285,2326.19,1.1818370249673351
286,2336.9300000000003,1.328002525390153
287,2342.31,1.3155851051177845
288,2353.12,1.365688312154159
289,2363.99,1.3063383962878679
290,2374.9,1.323820198486466
291,2385.86,1.275542648266176
292,2396.87,1.329507945626998
293,2402.4,1.2909487680979648
294,2413.4900000000002,1.3101709015885654
295,2424.63,1.3436062826602782
296,2435.8199999999997,1.3063048113131026
297,2447.06,1.3536852875470387
298,2452.7,1.3384235346964515
299,2464.02,1.3355319470601668
300,2475.4,1.3055778365212158
301,2486.8199999999997,1.3396069440471547
302,2492.56,1.287955286358791
303,2504.0600000000004,1.3635713300145085
304,2511.88643,1.3096263889389301
305,2515.62,1.2841938995285036
306,2527.2299999999996,1.2765148931423727
307,2533.06,1.284898184250801
308,2544.75,1.2622751796294511
309,2556.4900000000002,1.3077391636110893
310,2562.39,1.2969757187637014
311,2574.22,1.3427037422307186
312,2586.1,1.3325033543007239
313,2592.06,1.327437235776922
314,2604.0200000000004,1.2974775496117084
315,2616.04,1.2914826897700808
316,2622.07,1.3182144352904623
317,2634.18,1.3242310149342136
318,2646.3399999999997,1.3767713831809534
319,2652.4399999999996,1.3757427927455184
320,2664.68,1.3108336627570387
321,2676.98,1.3459385590921455
322,2683.15,1.3343944327008939
323,2695.5299999999997,1.3095795308007818
324,2707.98,1.3218139929448531
325,2714.22,1.2941981305977852
326,2726.75,1.2980740945066378
327,2733.03,1.3363940830419603
328,2745.65,1.2416418864361916
329,2751.98,1.2462850635745026
330,2764.68,1.265466568733515
331,2777.44,1.2995446002161133
332,2783.84,1.2841257413986078
333,2796.69,1.1438850123665851
334,2803.14,1.1958533421520676
335,2816.0800000000004,1.2990798526054237
336,2822.5699999999997,1.3105252332732973
337,2835.6,1.2670495832120319
338,2842.1400000000003,1.2558840524828934
339,2855.26,1.251582541907007
340,2861.84,1.2891140620602592
341,2875.05,1.2723900909697519
342,2884.0315,1.275007352343218
343,2888.3199999999997,1.2765546435123105
344,2894.9700000000003,1.2615214995782418
345,2908.3399999999997,1.306049933352904
346,2928.5,1.2828043664790965
347,2948.7999999999997,1.2723690428908871
348,2969.2400000000002,1.2786082625882764
349,2989.82,1.2765070255712643
350,3010.54,1.280714431839851
351,3031.41,1.278577413057293
352,3052.42,1.2679505375603335
353,3066.51,1.2622799510895026
354,3087.7700000000004,1.2621759671739692
355,3109.17,1.2473735265440344
356,3130.73,1.2409517925262121
357,3152.43,1.2407782017939886
358,3166.98,1.2309427718329813
359,3188.93,1.2021249726821839
360,3211.03,1.2160056484802417
361,3233.29,1.1993869308904124
362,3248.22,1.2059242041331728
363,3270.73,1.2076224781247693
364,3293.4,1.2011138587284784
365,3308.6,1.199495686879179
366,3311.31121,1.2003004232377767
367,3323.88,1.2046426971413433
368,3331.54,1.2000772059840412
369,3339.22,1.169291951403352
370,3346.92,1.1991926333992753
371,3354.63,1.1644017336835053
372,3362.3599999999997,1.171908670544348
373,3370.12,1.1516411622701097
374,3377.89,1.153126472284178
375,3385.67,1.1826085005865528
376,3393.48,1.1944421837538464
377,3401.2999999999997,1.2106402852094467
378,3409.14,1.1571517232416597
379,3417.0,1.1807731978504854
380,3424.88,1.190552009035924
381,3432.77,1.200459938509669
382,3440.68,1.193766404560027
383,3448.62,1.1647409254753038
384,3456.5699999999997,1.142161264678887
385,3464.53,1.1370808221707769
386,3472.52,1.1556199345275857
387,3480.53,1.1484823834610074
388,3488.55,1.1572604506827355
389,3496.59,1.1601010544810764
390,3504.65,1.13903189485603
391,3512.73,1.1339306718075965
392,3520.83,1.1465381853357757
393,3528.9500000000003,1.1394039354405678
394,3537.0800000000004,1.1541297038336662
395,3545.2299999999996,1.1609931088033776
396,3553.4100000000003,1.1638412686380077
397,3561.6,1.1626421467609447
398,3569.81,1.137358761460494
399,3578.04,1.1031901127366566
400,3586.29,1.0944238005894318
401,3594.55,1.1007925067305133
402,3602.84,1.122706267736514
403,3611.15,1.1175791653191274
404,3619.4700000000003,1.1300723811900475
405,3627.8100000000004,1.15491363363758
406,3636.17,1.1315841226617256
407,3636.96,1.0991524674379307
408,3639.6299999999997,1.249211050415738
409,3642.2900000000004,1.0632270151052388
410,3644.96,0.9697596980830461
411,3647.63,0.9815196810608533
412,3650.29,0.9206806457503542
413,3652.96,1.2490374287281614
414,3655.63,1.0597997117059685
415,3658.2999999999997,1.344603694683776
416,3660.9599999999996,1.3775983593732768
417,3663.63,0.9646452423510841
418,3666.3,1.1650561253288911
419,3668.96,1.059194990018392
420,3671.63,1.0970640729961993
421,3674.2999999999997,0.9302754559740065
422,3676.96,1.0069639206635073
423,3679.6299999999997,1.0669588036413147
424,3682.3,1.1815228866191219
425,3684.96,1.2830652513086225
426,3687.63,0.9616478342864299
427,3690.3,0.9151417172642371
428,3692.96,0.8225047819537379
429,3695.6299999999997,1.0300762649315451
430,3698.2999999999997,1.1235555479093524
431,3700.9599999999996,1.0171020125988532
432,3703.63,0.8825954955766604
433,3706.3,1.0933965785544677
434,3708.96,1.0184356432439685
435,3711.63,1.3245946262217756
436,3714.2999999999997,0.996465809199583
437,3716.96,1.0758461738890839
438,3719.6299999999997,1.2701742568668912
439,3722.3,1.6576387398446983
440,3724.96,1.9861294045341993
441,3727.63,2.9439258875120062
442,3730.2999999999997,3.4760203704898136
443,3732.96,3.3511820351793147
444,3735.6299999999997,2.420434518157122
445,3738.3,1.712112001134929
446,3740.96,1.4196646658244299
447,3743.63,1.2835421488022372
448,3746.3,1.1929100317800443
449,3748.96,1.282986296469545
450,3751.63,1.1576668794473524
451,3754.2999999999997,0.9696495624251595
452,3756.9599999999996,1.1949197271146605
453,3759.63,1.1302892100924675
454,3762.3,1.1983587930702748
455,3764.96,1.1838895577597757
456,3767.63,1.1378496407375829
457,3770.2999999999997,1.3033765237153903
458,3772.96,1.181472888404891
459,3775.6299999999997,1.2957856713826983
460,3778.3,1.5111081543605056
461,3780.96,1.4242338190500063
462,3783.63,1.3767043020278136
463,3786.3,1.6364387850056208
464,3788.96,1.5318894496951216
465,3791.6299999999997,1.572987932672929
466,3794.2999999999997,1.505916415650736
467,3796.9599999999996,1.397920080340237
468,3799.63,1.2489318633180442
469,3801.8939600000003,1.2493323239062226
470,3802.3,1.2494180625694673
471,3804.96,1.2537567938627956
472,3807.63,1.4025067861760239
473,3810.2999999999997,1.3188387784892521
474,3812.96,1.4298576097825806
475,3815.6299999999997,1.4092286020958087
476,3818.3,1.3370985944090368
477,3820.9700000000003,1.409315586722265
478,3823.63,1.5158484180155936
479,3826.3,1.4761444103288215
480,3828.97,1.45395440264205
481,3831.6299999999997,1.2232187339353782
482,3834.2999999999997,1.2460517262486064
483,3836.9700000000003,1.1982909185618347
484,3839.63,1.0435680498551632
485,3842.3,1.0678728421683912
486,3844.97,1.3351470344816194
487,3847.63,1.428885865774948
488,3850.2999999999997,1.345037858088176
489,3852.97,1.3529588504014043
490,3855.63,1.4785136816947326
491,3858.3,1.538185674007961
492,3860.9700000000003,1.463453666321189
493,3863.63,1.6191914976145174
494,3866.2999999999997,1.6117874899277456
495,3868.97,1.639249482240974
496,3871.6299999999997,1.5632513135343022
497,3874.3,1.5249283058475305
498,3876.9700000000003,1.4620942981607588
499,3879.63,1.3646871294540872
500,3882.3,1.5754711217673152
501,3884.97,1.4613691140805436
502,3887.63,1.461490945373872
503,3890.2999999999997,1.1892249376871002
504,3892.9700000000003,1.2297156300003282
505,3895.63,1.276420761293657
506,3898.3,1.3319127536068849
507,3900.9700000000003,1.332961745920113
508,3903.63,1.4775015772134414
509,3906.2999999999997,1.5932515695266698
510,3908.97,1.671945561839898
511,3911.6299999999997,1.4502363931332263
512,3914.3,1.5338473854464545
513,3916.9700000000003,1.8371353777596828
514,3919.63,1.561737209053011
515,3922.3,1.6388882013662391
516,3924.97,1.5676371936794675
517,3927.6299999999997,1.765168024972796
518,3930.2999999999997,1.573886017286024
519,3932.9700000000003,1.3601910095992524
520,3935.63,1.4704928408925808
521,3938.3,1.497236833205809
522,3940.97,1.4757828255190373
523,3943.63,1.5318026568123657
524,3946.2999999999997,1.5163586491255938
525,3948.97,1.6524936414388218
526,3951.6299999999997,1.6033224727321504
527,3954.3,1.4970434650453786
528,3956.9700000000003,1.4061794573586066
529,3959.63,1.449206288651935
530,3962.3,1.3507872809651635
531,3964.97,1.4195762732783916
532,3967.6299999999997,1.24665810457172
533,3970.2999999999997,1.3248330968849482
534,3972.9700000000003,1.0489242891981763
535,3975.63,1.1851370204915048
536,3978.3,1.230921312804733
537,3980.97,1.3683849051179613
538,3983.64,1.4634978974311894
539,3986.2999999999997,1.4463217287245178
540,3988.97,1.421008721037746
541,3991.6400000000003,1.5822297133509742
542,3994.3,1.6006735446443026
543,3996.9700000000003,1.6719925369575308
544,3999.64,1.494725529270759
545,4002.2999999999997,1.6944273605640874
546,4004.97,1.6465933528773156
547,4007.64,1.4461423451905437
548,4010.3,1.495899176483872
549,4012.9700000000003,1.5258011687971005
550,4015.64,1.5062851611103285
551,4018.3,1.690356992403657
552,4020.97,1.6768159847168853
553,4023.64,1.6178569770301132
554,4026.2999999999997,1.7175728083234416
555,4028.9700000000003,1.7576318006366698
556,4031.6400000000003,1.6202007929498983
557,4034.3,1.6074036242432266
558,4036.97,1.6448786165564546
559,4039.64,1.6181126088696831
560,4042.2999999999997,1.6828354401630115
561,4044.97,1.5735234324762395
562,4047.6400000000003,1.6735894247894678
563,4050.3,1.5446012560827962
564,4052.9700000000003,1.4770102483960244
565,4055.64,1.5414752407092527
566,4058.3,1.579585072002581
567,4060.97,1.7617840643158091
568,4063.64,1.5619240566290373
569,4066.2999999999997,1.5730648879223659
570,4068.9700000000003,1.634298880235594
571,4071.6400000000003,1.7143558725488222
572,4074.3,1.6182057038421505
573,4076.97,1.703162696155379
574,4079.64,1.548630688468607
575,4082.2999999999997,1.5736605197619353
576,4084.97,1.6157835120751638
577,4087.6400000000003,1.6197745043883918
578,4090.3,1.6275943356817202
579,4092.9700000000003,1.4465773279949483
580,4095.64,1.6145093203081766
581,4098.3,1.442166151601505
582,4100.97,1.4482921439147332
583,4103.64,1.3847761362279614
584,4106.3,1.28081896752129
585,4108.97,1.391848959834518
586,4111.639999999999,1.2517639521477464
587,4114.3,1.4843397834410748
588,4116.969999999999,1.5349327757543028
589,4119.64,1.517981768067531
590,4122.3,1.6020495993608597
591,4124.97,1.6434545916740877
592,4127.64,1.6284775839873158
593,4130.3,1.5170024152806443
594,4132.97,1.4246124075938726
595,4135.639999999999,1.5433053999071007
596,4138.3,1.694701231200429
