,lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
0,100.05999999999999,38.7502252661482
1,101.92,38.642427270195846
2,104.05,38.518981178040185
3,104.712855,38.48056481215088
4,105.99000000000001,38.09175854052091
5,107.96,37.4920236983782
6,109.96000000000001,36.883155838758555
7,114.09,35.62584370847631
8,118.1,34.40506365043816
9,120.22644299999999,33.75770226240711
10,121.13000000000001,33.527082092247646
11,125.10000000000001,32.5137956189388
12,127.13000000000001,31.995666767851084
13,128.01,31.771059188395395
14,130.99,31.010456246530715
15,131.9,30.778191597969936
16,134.04,30.231986802719188
17,136.85,29.514773980833354
18,138.038426,29.211445021243915
19,140.04000000000002,28.846280994433236
20,142.97,28.31173658675609
21,146.98,27.580159006752115
22,151.09,26.830337216781217
23,154.97,26.122476322945673
24,158.489319,25.480417525154085
25,158.94,25.4182565691022
26,161.9,25.00999347974122
27,166.05,24.437597657918634
28,169.92,23.90382136257508
29,173.08,23.46797304852493
30,177.11,22.912128578912643
31,179.99,22.514899855415525
32,181.970086,22.241793246082327
33,182.07000000000002,22.231279813517983
34,185.89000000000001,21.829321110824964
35,191.09,21.282152236300576
36,194.2,20.95490327713175
37,197.81,20.575042079295784
38,201.95000000000002,20.139411799521675
39,205.23,19.794274765411803
40,208.929613,19.40498394141787
41,210.01,19.319515164902267
42,215.9,18.85356206051961
43,219.91,18.536334075762728
44,222.97,18.294259670160145
45,227.10999999999999,17.966747777484887
46,229.74,17.758700608013086
47,234.01999999999998,17.42013533620804
48,239.88329199999998,16.956310658924885
49,240.01999999999998,16.94797701118075
50,246.18,16.572449930638587
51,251.91000000000003,16.223145195529874
52,257.18,15.901863392919731
53,260.16,15.72021009175073
54,263.78,15.49953464398242
55,269.31,15.162417452827864
56,274.31,14.857610288473836
57,275.42287,14.789768303539859
58,278.77,14.633173623579552
59,283.95,14.390827904391541
60,289.9,14.11245213559045
61,295.96999999999997,13.828470302373033
62,300.78000000000003,13.60343336877702
63,307.78,13.27594115915809
64,316.227766,12.880716371247939
65,317.87,12.823331673803862
66,328.28000000000003,12.459570418218679
67,338.26,12.110834033312036
68,347.72999999999996,11.77991867717297
69,356.65000000000003,11.46822293174599
70,363.078055,11.243604566378712
71,365.8,11.172374967189468
72,375.18,10.92691073160793
73,384.81,10.674897340346817
74,394.68,10.416617028001316
75,404.8,10.15178872447624
76,414.23,9.905014350418789
77,416.86938299999997,9.83594359149771
78,421.93,9.734810359900601
79,429.78000000000003,9.577933056823143
80,440.8,9.357708756244216
81,451.07,9.152468135027467
82,460.52000000000004,8.96361454252403
83,470.16,8.770964551367513
84,478.630092,8.601696261425799
85,480.0,8.580641382426991
86,490.06,8.426017340483646
87,500.32,8.268325543400474
88,506.11,8.179333208637455
89,511.96999999999997,8.089284055130499
90,520.29,7.9614065649936565
91,529.96,7.812777730937975
92,539.82,7.661223212134458
93,549.5408739999999,7.51181905847082
94,549.85,7.508194755747871
95,560.07,7.388376690447271
96,570.49,7.266210760806542
97,579.76,7.157515703921556
98,590.53,7.0312470363856
99,600.13,6.9186825842593995
100,609.88,6.804342283678103
101,619.79,6.688192186464703
102,629.86,6.5701230235192
103,630.957344,6.55725703297006
104,640.1,6.472280408848821
105,650.5,6.375622021056921
106,658.03,6.3056340145169205
107,665.65,6.234817204767279
108,674.91,6.148747877730837
109,684.3000000000001,6.061459439958245
110,695.4200000000001,5.958137641889214
111,705.09,5.868239864831072
112,716.55,5.761757709136728
113,724.43596,5.688463345754175
114,726.52,5.674085782184592
115,734.9300000000001,5.616067435251336
116,745.15,5.545577306313302
117,755.52,5.474042186983711
118,764.27,5.413663880042927
119,774.9,5.340365799654639
120,785.68,5.266004578074795
121,794.78,5.203235288720379
122,805.83,5.127012133875733
123,815.1600000000001,5.062651081880932
124,824.6,4.997555638218991
125,831.763771,4.948067810790937
126,834.15,4.935741172870176
127,845.76,4.875967714110517
128,855.5500000000001,4.825491612490528
129,865.4599999999999,4.77441886886243
130,875.48,4.72278064623523
131,885.62,4.670533046099921
132,895.87,4.61770495006551
133,904.16,4.574956199096899
134,914.63,4.521345087364286
135,925.2199999999999,4.472704282723564
136,935.93,4.426038780174731
137,944.59,4.3959300809727795
138,954.992586,4.3546087059249
139,955.53,4.352533847346837
140,964.37,4.3142963967596835
141,975.54,4.216695183320939
142,984.57,4.206561744784514
143,995.97,4.151684757828231
144,1005.18,4.126177038234602
145,1014.48,4.0761462086123705
146,1023.87,3.991565068961537
147,1035.73,3.9501121729701754
148,1045.31,3.9447634343700706
149,1054.98,3.8954669757413627
150,1064.74,3.828676547084054
151,1074.6,3.7927021495060753
152,1084.54,3.7254421407915617
153,1094.57,3.6967311020484455
154,1096.4782,3.6874736632689746
155,1104.7,3.655105762318648
156,1114.9199999999998,3.6127778659940106
157,1125.24,3.5639712167307747
158,1135.65,3.5415722478228018
159,1146.1599999999999,3.488543355976232
160,1154.1,3.463447020651611
161,1164.78,3.4238210228094252
162,1175.56,3.3492505620286424
163,1183.71,3.338190257532967
164,1194.66,3.256641570756569
165,1205.72,3.193613267747714
166,1214.07,3.1421159773748446
167,1225.31,3.128622365076514
168,1233.8,3.132068968589609
