,lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
0,102.08999999999999,38.06171617753319
1,103.97999999999999,37.9537982759656
2,104.712855,37.911952706077244
3,105.92,37.54988732247709
4,107.89,36.95901490639463
5,109.89,36.35914479914967
6,114.02000000000001,35.12041259885115
7,118.02,33.920672213470205
8,120.22644299999999,33.258892086709714
9,121.05,33.05180068916457
10,125.02,32.05349254040904
11,127.05,31.54302210104475
12,127.93,31.321735220457168
13,130.91,30.572374932945152
14,132.12,30.268109204959735
15,133.96,29.805417387322983
16,137.07999999999998,29.020860481040682
17,138.038426,28.779852364349622
18,139.95000000000002,28.43626477747514
19,142.88,27.909723561436923
20,146.88,27.190994336818537
21,151.0,26.450494700430596
22,154.87,25.754939244137557
23,158.489319,25.104445864141628
24,158.83999999999997,25.056797359502394
25,162.17,24.604328595013353
26,165.94,24.09209572898552
27,169.81,23.566263208030687
28,172.97,23.136904227197544
29,177.0,22.589334913619513
30,179.87,22.199381313134662
31,181.95,21.916767718133105
32,181.970086,21.914038575862094
33,186.19,21.47662650526381
34,190.97,20.981169976851685
35,194.07,20.659855670862655
36,198.14,20.2379849214835
37,201.82,19.856558214890065
38,205.1,19.5165802132307
39,208.929613,19.119591122601882
40,209.88,19.04552409772821
41,215.76000000000002,18.587413674856403
42,219.77,18.274963163600287
43,222.82,18.037286231098754
44,226.96999999999997,17.713931832940933
45,230.12,17.46942078565246
46,233.86,17.179831979421074
47,239.86,16.713810493204942
48,239.88329199999998,16.711993762005463
49,246.01999999999998,16.343059946176044
50,251.75,15.999496169910353
51,257.02,15.681756685266345
52,259.99,15.504542330730724
53,264.22,15.25091387936181
54,269.13,14.956074891813032
55,274.13,14.65578221949044
56,275.42287,14.578142482534949
57,279.23,14.402690148715983
58,283.77,14.193468707864733
59,289.71,13.919377325878738
60,295.78000000000003,13.639709032515945
61,301.28,13.386045327343728
62,308.28999999999996,13.06311241733332
63,316.227766,12.697460025007926
64,317.66,12.648193448117409
65,328.07000000000005,12.289828589371709
66,338.04,11.946528720495188
67,348.31,11.592867353389684
68,357.24,11.285423507840301
69,363.078055,11.08452505953517
70,366.41,10.998671697487293
71,374.94,10.778641168480387
72,384.55999999999995,10.530250677911049
73,395.33,10.252874096307956
74,404.53999999999996,10.015544905959347
75,413.96000000000004,9.772534805961095
76,416.86938299999997,9.697441738692495
77,421.66,9.602984529957233
78,430.48999999999995,9.428998411434074
79,440.52,9.23154350523506
80,450.78,9.029387174356506
81,460.22,8.843273882639785
82,469.84999999999997,8.653574513666058
83,478.630092,8.480737638008899
84,479.69,8.464692114081712
85,489.73999999999995,8.312143164969404
86,499.99,8.157097087033964
87,505.78,8.069109490154336
88,511.64,7.980944565336612
89,519.95,7.854971694685539
90,529.62,7.70829274523718
91,539.46,7.558861744939157
92,549.49,7.406807920809164
93,549.5408739999999,7.406038832163577
94,559.71,7.288826242734353
95,570.12,7.168747383479425
96,579.38,7.061586923479364
97,590.15,6.937119825457697
98,599.74,6.825856008671456
99,609.49,6.712493122988887
100,619.39,6.59905857440351
101,629.45,6.482612646921801
102,630.957344,6.465216108333236
103,639.68,6.385430374965411
104,650.0699999999999,6.290089257675791
105,657.6,6.220866684949047
106,665.22,6.151279855225571
107,674.4699999999999,6.066594906894581
108,685.4300000000001,5.9657677336256425
109,694.97,5.8786557439718425
110,704.63,5.789651183322397
111,716.08,5.685226187404574
112,724.43596,5.60865013832653
113,726.04,5.597735858849853
114,734.4499999999999,5.540502952587717
115,744.6700000000001,5.470862601239437
116,755.03,5.400346752448033
117,765.53,5.328413973213499
118,774.4,5.268527028923947
119,785.1700000000001,5.195033213477668
120,794.26,5.133343857348916
121,805.3100000000001,5.058220423016383
122,814.64,4.994733382699414
123,824.0699999999999,4.930603937637351
124,831.763771,4.877924605703043
125,835.53,4.85860224387819
126,845.21,4.809804815524678
127,854.99,4.7600090058204065
128,864.89,4.709714743095224
129,874.91,4.6587683943491305
130,885.04,4.607247044417202
131,895.29,4.555108360464361
132,905.66,4.502312979490609
