,lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
0,100.04,15.998502105395337
1,101.89999999999999,15.953997722405472
2,104.03,15.903033025669185
3,104.712855,15.886694294292303
4,105.97,15.728689404828389
5,107.94,15.481088983223344
6,109.94,15.22971799789276
7,114.07000000000001,14.71063691216127
8,118.08000000000001,14.206638086442629
9,120.22644299999999,13.936861357165917
10,121.11,13.843757348627141
11,125.07000000000001,13.426475961496628
12,127.10000000000001,13.212566564360053
13,127.99,13.118783628198122
14,130.97,12.804768851021421
15,131.87,12.709932183308476
16,134.02,12.483377899868477
17,137.14000000000001,12.154610771501968
18,138.038426,12.059939957425742
19,140.01,11.91144165967732
20,142.94,11.690755215205622
21,146.95,11.388723758306963
22,151.06,11.079160073640042
23,154.94,10.786919964351512
24,158.489319,10.519586662791054
25,158.91,10.495631831457278
26,161.87,10.327080629585057
27,166.01999999999998,10.09076733305282
28,169.89000000000001,9.870398122378294
29,173.05,9.690458436132424
30,177.08,9.460978447990778
31,179.95000000000002,9.2975523230095
32,181.970086,9.182522763489981
33,182.04000000000002,9.179485562218044
34,185.85,9.013971806544568
35,191.06,8.787639367403873
36,194.16,8.65296949308747
37,198.23,8.476161036115878
38,201.91,8.316295141452455
39,205.19,8.173805865373668
40,208.929613,8.011350079433534
41,209.96999999999997,7.9773708732570885
42,215.86,7.785003627706945
43,219.87,7.6540370289833835
44,222.93,7.554097331275331
45,227.07000000000002,7.418885175757962
46,230.23,7.315689036747752
47,233.97,7.1935587589290195
48,239.88329199999998,7.000444455768018
49,239.97,6.998262392103441
50,246.13,6.843227648633369
51,251.86,6.69902219300361
52,257.14,6.566125482700693
53,260.11,6.49138899084155
54,263.73,6.400287395650308
55,269.25,6.261363236739075
56,274.26,6.135274805354261
57,275.42287,6.106008542121863
58,278.72,6.0423261410763445
59,283.9,5.942277021951639
60,289.84,5.827544052404003
61,295.90999999999997,5.710306682544551
62,300.72,5.617401109007322
63,307.72,5.4822013380171795
64,316.227766,5.317880084651928
65,317.80999999999995,5.295055536786931
66,328.21999999999997,5.144882743936641
67,338.19,5.001056251420372
68,347.67,4.864298654760166
69,357.41,4.723790129125314
70,363.078055,4.642025373100791
71,365.73,4.613376769097978
72,375.11,4.512040820187824
73,384.74,4.407998263784223
74,394.6,4.30148422631065
75,404.73,4.192047655920153
76,414.15,4.090278070163048
77,416.86938299999997,4.0608986840401275
78,421.85,4.01980732500463
79,429.7,3.9550427975215223
80,440.72,3.8641281122953006
81,450.99,3.779397550115872
82,460.43,3.701513402209563
83,470.07,3.6219809692374416
84,478.630092,3.551359141410841
85,479.90999999999997,3.5432381804725983
86,489.96,3.479464971817881
87,500.21999999999997,3.4143669005918706
88,506.01,3.3776278765976606
89,511.87000000000006,3.340475955346352
90,520.19,3.287683557674188
91,529.86,3.226323156372286
92,539.71,3.1638131963664184
93,549.5408739999999,3.1014443203109074
94,549.75,3.1004322924111607
95,559.97,3.0509796200019252
96,570.38,3.0006016037338097
97,579.65,2.9557247069189754
98,590.42,2.903607906818245
99,600.02,2.857135167748513
100,609.77,2.8099303263901914
101,619.67,2.762054999943281
102,629.74,2.7133166124226347
103,630.957344,2.7074248381761734
104,639.97,2.672847097926596
105,650.37,2.6329549756855917
106,657.9,2.6040652823788832
107,665.52,2.574841084672493
108,674.78,2.539314040060791
109,685.74,2.4972468543106547
110,695.2800000000001,2.460696569944386
111,704.96,2.423530854500836
112,716.41,2.3796520303302104
113,724.43596,2.3488646734521255
114,726.38,2.3433299265195537
115,734.7900000000001,2.3193876715261292
116,745.01,2.2903144766209214
117,755.3700000000001,2.260827968017012
118,764.1199999999999,2.2359096551981708
119,774.75,2.205686245368194
120,785.53,2.17501180786818
121,794.6300000000001,2.149118842052584
122,805.6800000000001,2.117670508426503
123,815.01,2.0911167619701843
124,824.45,2.0642846837291695
125,831.763771,2.0433834466579612
126,835.92,2.0344954689650256
127,845.5999999999999,2.0140336306349735
128,855.39,1.9932151563761697
129,865.29,1.9721933258886164
130,875.31,1.950916889906062
131,885.4499999999999,1.9293987635285075
132,895.6999999999999,1.9076288386222018
133,903.9899999999999,1.889991807500907
134,914.46,1.8682667605371
135,925.0400000000001,1.8544726400445426
136,935.7600000000001,1.8440884194244844
137,944.41,1.847068735118188
138,954.992586,1.8418215894191137
139,955.3499999999999,1.8416608116859035
140,964.19,1.834465422699363
141,975.35,1.7515740125760833
142,984.38,1.7879781366429994
143,995.78,1.7660013598504023
144,1004.99,1.77329391891533
145,1014.2900000000001,1.7482676604792635
146,1026.04,1.6704536156272445
147,1035.53,1.679852600244635
148,1045.1100000000001,1.716604207361031
149,1054.78,1.695321116976433
150,1064.54,1.653122239090841
151,1074.39,1.6502927737042543
152,1084.33,1.608237610816674
153,1094.3700000000001,1.6145555484835439
154,1096.4782,1.6093401850194347
155,1104.49,1.5925452828549214
156,1114.71,1.5723659607908873
157,1125.03,1.544377176867127
158,1135.44,1.5511088872696126
159,1145.94,1.5221259919983448
160,1153.89,1.515734324150099
161,1164.56,1.5023530737172965
162,1175.34,1.4475273652387948
163,1186.21,1.4615081310865392
164,1194.4299999999998,1.411046406217033
165,1205.49,1.3686834745312968
166,1213.8400000000001,1.3264701792441456
167,1225.07,1.3536021923968755
168,1236.41,1.377072877503906
169,1244.98,1.3760172261253572
170,1253.61,1.3570532376309723
171,1258.92541,1.3401219724703908
172,1265.21,1.3231811978438295
173,1273.98,1.3438607925245374
174,1285.77,1.3364032477452383
175,1294.68,1.2976234154311117
176,1303.65,1.285504028690627
177,1315.72,1.2988815299216583
178,1324.84,1.2820189571152794
179,1334.02,1.2563643298825427
180,1346.3600000000001,1.263108136194964
181,1355.7,1.2477219638252732
182,1365.09,1.2224909961002846
183,1374.56,1.2173802558068187
184,1384.08,1.2078807201580546
185,1393.6799999999998,1.1787873119408137
186,1406.57,1.1681490693449557
187,1416.3200000000002,1.1602009750618199
188,1426.1399999999999,1.1509161672812673
189,1436.03,1.1385623460032972
190,1442.65,1.1377193409618245
191,1445.43977,1.1361052364527815
192,1445.98,1.1359910371310562
193,1456.0,1.1239702876189093
194,1466.1,1.105948040705468
195,1476.26,1.0969981707410554
196,1486.49,1.0902813905505102
197,1493.35,1.0864595883894994
198,1503.7,1.0714411620970123
199,1510.64,1.052415562534707
200,1517.6200000000001,1.0542777142717543
201,1524.62,1.045292891658478
202,1535.1899999999998,1.0218122475124312
203,1545.83,1.022257893140251
204,1556.55,1.0069452413667765
205,1563.73,1.0033530496005874
206,1574.5700000000002,1.0016973517251708
207,1585.49,0.9976083564484599
208,1596.48,0.9917374509456162
209,1603.85,0.9820258028513525
210,1614.96,0.9732164512465667
211,1626.16,0.9576090150653246
212,1633.66,0.9585943336939572
213,1644.99,0.9508819642356116
214,1656.39,0.9316614845511328
215,1659.58691,0.9337496434703749
216,1664.03,0.9377816116471228
217,1671.7199999999998,0.9199634563691261
218,1675.5700000000002,0.933541006587554
219,1683.3000000000002,0.9336417741689693
220,1694.97,0.9187466934024907
221,1706.7199999999998,0.9073232583548363
222,1714.6,0.8986482616590477
223,1726.48,0.8912835509044829
224,1734.4499999999998,0.8949513556423718
225,1746.47,0.88462862489575
226,1754.54,0.8889281867821694
227,1766.7,0.8694977360434906
228,1774.8500000000001,0.8696636436487343
229,1783.05,0.8670311298282436
230,1795.41,0.8700908933866259
231,1803.69,0.8630975252849596
232,1816.2,0.8476537245661376
233,1824.5800000000002,0.8443107136130019
234,1833.0,0.8344667255192787
235,1845.71,0.8159445390975181
236,1854.22,0.8138475524374722
237,1867.0800000000002,0.8120005017385072
238,1875.6999999999998,0.8142502279418452
239,1884.35,0.8004984212897421
240,1893.05,0.7928757932119045
241,1905.46072,0.7907654958438262
242,1906.17,0.7907575398455824
243,1914.97,0.7841104960436128
244,1923.81,0.776595427951634
245,1937.15,0.768685027233648
246,1946.0900000000001,0.7781939984166469
247,1955.07,0.767891545309637
