,lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
0,102.05000000000001,1.462252e-11
1,103.95,2.093909e-11
2,104.712855,2.47363055068394e-11
3,105.88,3.054593e-11
4,108.10000000000001,4.518255e-11
5,110.11,7.480966e-11
6,113.98,1.412409e-10
7,117.97999999999999,2.46602e-10
8,120.22644299999999,9.091262317214486e-10
9,121.01,1.140214e-09
10,124.97,1.807055e-09
11,127.0,2.187941e-09
12,127.88000000000001,2.449261e-09
13,130.86,3.191698e-09
14,132.07,3.990077e-09
15,133.91,4.688053e-09
16,137.03,6.933739e-09
17,138.038426,7.56457973658884e-09
18,139.9,8.729124e-09
19,143.16,2.78602e-08
20,147.17,8.452863e-08
21,150.94,1.079005e-07
22,155.17,1.380469e-07
23,158.489319,1.7088564010678407e-07
24,159.14999999999998,1.774219e-07
25,162.10999999999999,2.108715e-07
26,165.89,2.672841e-07
27,170.14000000000001,3.280967e-07
28,172.91,3.845865e-07
29,176.93,4.666762e-07
30,179.81,5.357563e-07
31,181.89000000000001,5.874991e-07
32,181.970086,5.896516511302357e-07
33,186.13000000000002,7.014618e-07
34,190.9,8.669866e-07
35,194.0,9.886185e-07
36,198.07000000000002,1.153362e-06
37,202.21,1.349005e-06
38,205.03,1.506557e-06
39,208.929613,1.6825709788050317e-06
40,209.79999999999998,1.721857e-06
41,216.17999999999998,2.207769e-06
42,220.20000000000002,2.529319e-06
43,222.75,2.753896e-06
44,226.89000000000001,3.14032e-06
45,230.04,5.093563e-06
46,233.78,8.66965e-06
47,239.78,1.210552e-05
48,239.88329199999998,1.2116086183759347e-05
49,245.93,1.273463e-05
50,252.24,1.51356e-05
51,256.93,1.386709e-05
52,259.9,1.686607e-05
53,264.13,1.88791e-05
54,269.04,2.041671e-05
55,274.04,2.187808e-05
56,275.42287,2.2303354635972487e-05
57,279.13,2.344341e-05
58,284.32,2.517754e-05
59,290.28000000000003,2.600162e-05
60,295.67,2.844503e-05
61,301.17,2.978556e-05
62,308.19,3.273285e-05
63,316.227766,3.632354073237659e-05
64,318.28000000000003,3.724033e-05
65,327.95,4.120857e-05
66,337.92,4.487425e-05
67,348.19000000000005,4.852569e-05
68,357.12,5.223921e-05
69,363.078055,5.5260197557647375e-05
70,366.28000000000003,5.688372e-05
71,374.81,6.025564e-05
72,385.31,6.194331e-05
73,395.2,6.854538e-05
74,405.33,7.378967e-05
75,413.82,7.691278e-05
76,416.86938299999997,7.769528181474512e-05
77,421.51,7.888611e-05
78,430.34000000000003,8.128273e-05
79,441.37999999999994,8.64967e-05
80,450.62,8.953778e-05
81,460.06,9.140736e-05
82,469.68999999999994,9.483936e-05
83,478.630092,9.889937013409348e-05
84,479.53000000000003,9.930805e-05
85,489.57,9.999716e-05
86,499.82,0.0001056793
87,505.61,0.0001071462
88,511.46,0.0001377183
89,519.77,0.0001425604
90,529.43,0.0001475711
91,540.52,0.0001458811
92,549.5408739999999,0.00017020092750429815
93,550.57,0.0001729754
94,559.52,0.0001967847
95,569.92,0.0002192704
