,lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
0,102.00000000000001,1.129322e-07
1,103.9,1.444708e-07
2,104.712855,1.6072415412442393e-07
3,106.07000000000001,1.878608e-07
4,108.05,2.493271e-07
5,110.05,3.696566e-07
6,113.91999999999999,5.712107e-07
7,117.92,8.276327e-07
8,120.22644299999999,2.6825520315963253e-06
9,120.95,3.264461e-06
10,124.91,4.363059e-06
11,126.94,4.873033e-06
12,128.12,5.244955e-06
13,131.1,6.092593e-06
14,132.01,7.324878e-06
15,133.85,7.994331e-06
16,136.96,1.061256e-05
17,138.038426,1.1097053867598737e-05
18,140.15,1.20457e-05
19,143.09,3.538241e-05
20,147.10000000000002,9.566447e-05
21,150.87,0.0001076021
22,155.1,0.0001221103
23,158.489319,0.00013670344726422117
24,159.07999999999998,0.0001392467
25,162.02999999999997,0.0001519807
26,166.19,0.0001728974
27,170.06,0.0001917741
28,172.82,0.0002083634
29,176.85,0.0002295057
30,180.14,0.0002464864
31,181.8,0.0002581167
32,181.970086,0.0002590892108310849
33,186.04,0.00028236
34,190.81,0.0003146122
35,193.91,0.0003371461
36,197.97,0.0003637363
37,202.12,0.0003942553
38,204.93,0.0004176351
39,208.929613,0.0004318189747256273
40,210.19,0.0004362887
41,216.07999999999998,0.0005055756
42,220.09,0.0005430116
43,223.15,0.0005633667
44,226.78,0.0006050346
45,229.94,0.0009348975
46,234.21,0.001558781
47,239.88329199999998,0.0019568724069311118
48,240.22000000000003,0.001980499
49,245.80999999999997,0.001922269
50,252.11999999999998,0.002102838
51,256.81,0.001814599
52,259.78000000000003,0.002117268
53,264.0,0.002258416
54,268.91,0.002295016
55,273.90999999999997,0.002326982
56,275.42287,0.00233658976478389
57,279.0,0.002359307
58,284.19,0.002397581
59,290.14000000000004,0.00232703
60,296.21000000000004,0.00240334
61,301.03000000000003,0.002397626
62,308.04,0.002464868
63,316.227766,0.0025495695872229927
64,318.13,0.002569248
65,327.79999999999995,0.002610862
66,337.76,0.002622983
67,348.02,0.002629073
68,356.95,0.002647139
69,363.078055,0.002671856158232787
70,366.09999999999997,0.002684045
71,374.63000000000005,0.002678053
72,385.13,0.002586876
73,395.01,0.002665666
74,405.14,0.002683969
75,413.62,0.002659435
76,416.86938299999997,0.0026458131061856812
77,422.28000000000003,0.002623131
78,430.14,0.002592821
79,441.17,0.002592918
80,451.45,0.002551383
81,459.84,0.002504935
82,469.47,0.002476202
83,478.630092,0.002471367181084355
84,480.4,0.002470433
85,490.46,0.002397713
86,499.58000000000004,0.002408802
87,506.53,0.002375713
88,512.4,0.002628969
89,519.52,0.002617016
90,530.4,0.002575101
91,540.26,0.002476241
92,549.5408739999999,0.0025674419786433826
93,550.31,0.002575
94,560.54,0.002708838
95,569.65,0.002817009
96,580.24,0.002740141
97,589.67,0.002909388
98,600.63,0.002862869
99,610.39,0.002804059
100,620.3100000000001,0.003241789
101,630.38,0.003309877
102,630.957344,0.0033142052775601955
103,640.63,0.00338672
104,649.54,0.003571133
105,658.58,0.003645813
106,664.67,0.003835341
107,675.4699999999999,0.003915571
108,684.8700000000001,0.003800138
109,694.39,0.004526694
110,705.6800000000001,0.004263689
111,715.49,0.005032809
112,724.43596,0.005212977580558235
113,725.4499999999999,0.0052334
114,735.54,0.005442543
115,745.7700000000001,0.005885549
116,754.41,0.006205663
117,764.9,0.006263138
118,775.54,0.007027343
119,784.52,0.007291021
120,795.44,0.007794455
121,804.65,0.008218474
122,815.84,0.008585912
123,825.2900000000001,0.009327935
124,831.763771,0.008300825473829848
125,834.84,0.00781276
126,844.51,0.009949208
127,854.2900000000001,0.01027538
128,864.18,0.01111228
129,874.1899999999999,0.01187941
130,884.31,0.0127877
131,894.5500000000001,0.01351442
132,904.91,0.01367089
133,915.39,0.01839905
134,925.99,0.1037022
135,934.56,0.222223
136,945.38,0.4147518
137,954.13,0.5872038
138,954.992586,0.5919792448628259
139,965.1700000000001,0.6483234
140,974.0999999999999,0.107349
141,985.38,0.5233535
142,994.5,0.5659768
143,1006.02,0.8507356
144,1015.3299999999999,0.8294438
145,1024.72,0.3722012
146,1034.2,0.5751528
147,1046.18,1.116308
148,1055.86,1.090908
149,1065.63,0.8468323
150,1075.49,1.018104
151,1085.44,0.7939465
152,1095.48,1.073488
153,1096.4782,1.0691971181854043
154,1105.62,1.0299
155,1115.8500000000001,0.9835355
156,1126.1699999999998,0.8745695
157,1133.98,1.134482
158,1144.47,1.027539
159,1155.06,1.095959
160,1165.75,1.12667
161,1173.83,0.7582221
162,1184.69,1.090923
163,1195.65,0.7443904
164,1203.94,0.531858
165,1215.0800000000002,0.3826426
166,1226.32,0.7529923
167,1234.82,1.139716
168,1246.25,1.249656
169,1254.8899999999999,1.187942
170,1258.92541,1.1102501530149396
171,1263.59,1.020445
172,1275.28,1.329838
173,1284.12,1.395704
174,1296.0,1.083423
175,1304.99,1.073471
176,1314.03,1.360803
177,1326.1899999999998,1.29656
178,1335.3799999999999,1.142328
179,1344.64,1.373383
180,1353.9599999999998,1.326773
181,1366.49,1.177044
182,1375.96,1.238203
183,1385.5,1.249651
184,1395.1,1.066091
185,1404.77,1.103543
186,1414.51,1.152916
187,1424.31,1.18247
188,1434.1899999999998,1.179766
189,1440.81,1.246776
190,1445.43977,1.262927979548872
191,1447.46,1.269976
192,1454.1399999999999,1.229686
193,1464.22,1.12926
194,1474.3700000000001,1.13186
195,1484.5900000000001,1.155565
196,1494.88,1.177034
197,1505.24,1.10866
198,1512.1899999999998,0.9835418
199,1515.67,1.053888
200,1526.18,1.029896
201,1536.76,0.8908307
202,1543.85,0.9790374
203,1554.5500000000002,0.9242667
204,1565.3300000000002,0.9479596
205,1576.18,1.02754
206,1583.45,1.083426
207,1594.43,1.113762
208,1605.48,1.088413
209,1616.61,1.085899
210,1624.07,1.020448
211,1635.3300000000002,1.09595
212,1646.67,1.126659
213,1654.27,1.022813
214,1659.58691,1.07582899526178
215,1665.73,1.137083
216,1673.4199999999998,0.9858151
217,1677.28,1.190659
218,1685.0200000000002,1.243923
219,1696.6999999999998,1.147613
220,1704.53,1.106109
221,1716.3500000000001,1.068541
222,1724.27,1.066086
223,1736.22,1.150262
224,1744.24,1.121479
225,1756.3300000000002,1.212821
226,1764.4299999999998,1.085909
227,1776.6599999999999,1.134481
228,1784.8700000000001,1.147611
229,1793.1,1.255443
230,1805.53,1.229698
231,1813.87,1.150254
232,1826.44,1.158217
233,1834.8700000000001,1.10355
234,1843.34,1.006443
235,1856.12,1.03226
236,1864.69,1.080909
237,1873.29,1.144959
238,1886.28,1.068533
239,1894.98,1.046628
240,1903.7299999999998,1.085903
241,1905.46072,1.0829818855393936
242,1916.93,1.063624
243,1925.77,1.037036
244,1934.66,1.020451
245,1943.5900000000001,1.121481
246,1957.07,1.061186
247,1966.1000000000001,1.168948
248,1975.17,1.187949
249,1984.29,1.129265
250,1993.45,1.098483
251,2007.27,1.111205
252,2016.53,1.075946
253,2025.84,1.106099
254,2035.19,1.07843
255,2044.59,1.131867
256,2054.02,1.063624
257,2063.5,1.063624
258,2073.0299999999997,1.171644
259,2077.81,1.144957
260,2087.4,1.174339
261,2097.03,1.108655
262,2106.71,1.093448
263,2116.44,1.108651
264,2126.21,1.126659
265,2136.02,1.022818
266,2145.88,1.075946
267,2155.79,1.11121
268,2165.74,1.061184
269,2175.73,1.056318
270,2185.7799999999997,1.053884
271,2187.7616199999998,1.0646513917678568
272,2195.86,1.108655
273,2206.0,1.073482
274,2216.1800000000003,1.004134
275,2226.41,0.9769374
276,2236.69,1.067629
277,2247.01,1.013825
278,2257.38,0.9583325
279,2262.5899999999997,0.9767692
280,2273.03,1.012373
281,2283.52,1.05172
282,2294.06,0.9805295
283,2304.65,1.000034
284,2315.29,0.9518705
285,2325.98,0.7364483
286,2336.71,0.8624098
287,2347.5,0.8133507
288,2352.91,0.9237563
289,2363.77,0.8149427
290,2374.6800000000003,0.8604092
291,2385.64,0.7660809
292,2396.66,0.8295457
293,2407.7200000000003,0.800623
294,2413.27,0.8255027
295,2424.41,0.9084251
296,2435.6,0.8767511
297,2446.84,0.9321005
298,2452.48,0.9241694
299,2463.7999999999997,0.9148392
300,2475.17,0.8728264
301,2486.6,0.8841287
302,2492.33,0.8181232
303,2503.8300000000004,0.9558931
304,2511.88643,0.8574937735490524
305,2515.3900000000003,0.814702
306,2527.0,0.7899438
307,2532.83,0.8089116
308,2544.52,0.8025995
309,2556.26,0.8832866
310,2562.16,0.8480132
311,2573.98,0.9099194
312,2585.8599999999997,0.8966432
313,2597.8,0.8774463
314,2603.7900000000004,0.8424249
315,2615.81,0.8206054
316,2627.88,0.8907572
317,2633.94,0.9355441
318,2646.1,1.048772
319,2652.2000000000003,1.086398
320,2664.44,0.9541316
321,2676.7400000000002,1.012104
322,2682.91,1.015167
323,2695.29,0.950974
324,2707.73,0.9926303
325,2713.97,0.9249152
326,2726.5,0.9220209
327,2732.79,0.9773435
328,2745.4,0.8085057
329,2758.07,0.8458966
330,2764.43,0.8905151
331,2777.19,0.9424885
332,2783.59,0.8523088
333,2796.44,0.6415445
334,2802.8900000000003,0.6959012
335,2815.82,0.9272583
336,2822.31,1.012789
337,2835.34,0.9798776
338,2841.88,0.9451402
339,2854.9999999999995,0.8895012
340,2868.17,1.013436
341,2874.79,1.021221
342,2884.0315,1.0157618243212667
343,2888.0499999999997,1.013388
344,2894.7099999999996,1.007173
345,2908.0699999999997,1.123993
346,2928.23,1.070903
347,2948.5299999999997,1.053761
348,2968.9700000000003,1.083292
349,2989.55,1.090818
350,3010.27,1.108561
351,3031.14,1.108583
352,3052.15,1.113767
353,3073.2999999999997,1.129314
354,3087.49,1.141561
355,3108.8900000000003,1.14426
356,3130.44,1.126063
357,3152.14,1.1392
358,3166.6899999999996,1.146311
359,3188.64,1.079802
360,3210.7400000000002,1.128228
361,3232.9999999999995,1.065262
362,3247.92,1.153882
363,3270.44,1.205656
364,3293.1,1.200333
365,3308.3,1.199536
366,3311.31121,1.2021150383030101
367,3323.58,1.212623
368,3331.24,1.213637
369,3338.92,1.151997
370,3346.6099999999997,1.224076
371,3354.33,1.172657
372,3362.06,1.139028
373,3369.81,1.193701
374,3377.58,1.143558
375,3385.36,1.163114
376,3393.1699999999996,1.238758
377,3400.99,1.319319
378,3408.83,1.19597
379,3416.69,1.205272
380,3424.57,1.283662
381,3432.46,1.326839
382,3440.37,1.259465
383,3448.3,1.160244
384,3456.25,1.193778
385,3464.2200000000003,1.130541
