id,zpk,field
22468,1.6739,CDFS
16807,1.5228,CDFS
11281,1.5864,CDFS
10413,1.5003,CDFS
13143,1.4925,CDFS
12321,1.2842,CDFS
11857,1.6092,CDFS
13517,1.1115,CDFS
25717,1.5764,CDFS
13103,1.0995,CDFS
11154,1.6511,CDFS
16270,1.5906,CDFS
18441,1.5426,CDFS
15326,1.6597,CDFS
17116,1.8703,CDFS
16530,1.1977,CDFS
9580,1.1317,CDFS
13106,1.1545,CDFS
15163,1.6277,CDFS
25203,0.8613,CDFS
25830,0.3153,CDFS
9310,1.325,CDFS
19584,1.2382,CDFS
11696,0.2567,CDFS
17417,1.6503,CDFS
18838,1.6872,CDFS
10114,0.4672,CDFS
18797,0.8162,CDFS
29552,0.5422,CDFS
25294,0.9954,CDFS
20666,1.645,CDFS
28340,0.6919,CDFS
17899,0.7096,CDFS
25995,0.7038,CDFS
26267,0.7859,CDFS
12331,1.343,CDFS
16078,1.7448,CDFS
26038,1.6896,CDFS
27015,0.6567,CDFS
13396,0.7574,CDFS
10864,1.4749,CDFS
9001,0.654,CDFS
15440,0.7453,CDFS
18938,1.3583,CDFS
18006,1.2538,CDFS
13227,0.4034,CDFS
28244,1.2275,CDFS
26825,0.7823,CDFS
7457,0.5794,CDFS
17814,0.6674,CDFS
25652,1.0953,CDFS
16196,1.2348,CDFS
21822,0.9085,CDFS
22580,0.6648,CDFS
24723,1.285,CDFS
6455,1.2113,CDFS
16152,1.5967,CDFS
28846,0.7252,CDFS
25501,1.6497,CDFS
19115,0.9488,CDFS
23050,0.3899,CDFS
28259,1.6747,CDFS
10969,0.6349,CDFS
19429,1.5033,CDFS
29283,1.593,CDFS
9289,0.7045,CDFS
28769,0.6763,CDFS
24009,0.6634,CDFS
19211,0.3221,CDFS
21261,0.5416,CDFS
23848,1.3293,CDFS
20434,1.367,CDFS
24854,0.7151,CDFS
10980,1.5386,CDFS
13149,0.7163,CDFS
17378,0.2378,CDFS
18009,0.5733,CDFS
25286,0.6469,CDFS
26392,1.3781,CDFS
28112,0.7017,CDFS
28395,0.5192,CDFS
13237,0.7541,CDFS
16023,0.596,CDFS
9487,0.7421,CDFS
23478,0.5174,CDFS
16741,0.6193,CDFS
16651,0.6414,CDFS
