Template,AGN_Type,Alpha,Redshift,u-g,g-r,Classification
Arp_118,Type1,0.0,0.0,1.4566249548666867,0.7321542394778291,Correct Identification
Arp_118,Type1,0.0,0.1,1.4810266287046545,0.8782661243075012,Correct Identification
Arp_118,Type1,0.0,0.2,1.4099728811505372,1.1520457085286893,Correct Identification
Arp_118,Type1,0.0,0.3,1.3768577149953316,1.3860221021053931,Correct Identification
Arp_118,Type1,0.0,0.4,1.2535016674122232,1.5373447661048658,Correct Identification
Arp_118,Type1,0.0,0.5,1.0934021262176898,1.5246409690791438,Correct Identification
Arp_118,Type1,0.0,0.6,0.8454306074480584,1.4108943150682123,Correct Identification
Arp_118,Type1,0.0,0.7,0.6013899877084548,1.3348302317629575,Correct Identification
Arp_118,Type1,0.0,0.8,0.46144715703928796,1.2568660705116166,Correct Identification
Arp_118,Type1,0.0,0.9,0.392846695518859,1.1881566040968252,Correct Identification
Arp_118,Type1,0.0,1.0,0.3975774440010973,1.0578104086676277,Correct Identification
Arp_118,Type1,0.0,1.1,0.39242106957032163,0.9166123165222047,Correct Identification
Arp_118,Type1,0.0,1.2,0.44748520129151714,0.7536610982931684,Correct Identification
Arp_118,Type1,0.0,1.3,0.48493595907985565,0.5747502269589759,Correct Identification
Arp_118,Type1,0.0,1.4,0.49611238811957037,0.42665208247882447,Correct Identification
Arp_118,Type1,0.0,1.5,0.4466029874495838,0.3787856799184226,Correct Identification
Arp_118,Type1,0.0,1.6,0.4175828582193972,0.39360129907696617,Correct Identification
Arp_118,Type1,0.0,1.7,0.4703437017525296,0.4100544913965898,Correct Identification
Arp_118,Type1,0.0,1.8,0.5583787034900141,0.4383544617884496,Correct Identification
Arp_118,Type1,0.0,1.9,0.6733413055627402,0.45653778105342013,Correct Identification
Arp_118,Type1,0.0,2.0,0.8044040883760673,0.48184954803713254,Correct Identification
Arp_118,Type1,0.0,2.1,0.9190541225547726,0.4933743377693034,Correct Identification
Arp_118,Type1,0.0,2.2,0.913393931874289,0.49670289400268786,Correct Identification
Arp_118,Type1,0.0,2.3,0.9586642068608455,0.5041046384429535,Correct Identification
Arp_118,Type1,0.0,2.4,1.0726946477798975,0.5385827725943315,Correct Identification
Arp_118,Type1,0.0,2.5,1.2318194593079497,0.5501024457571049,Correct Identification
Arp_118,Type1,0.0,2.6,1.4755390095480365,0.5567889064135798,Correct Identification
Arp_118,Type1,0.0,2.7,1.8219529472082137,0.5861765335977616,Correct Identification
Arp_118,Type1,0.0,2.8,2.1480703541722583,0.6415660366168012,Correct Identification
Arp_118,Type1,0.0,2.9,2.594572424927204,0.6890992556621356,Correct Identification
Arp_118,Type1,0.0,3.0,3.096148975392218,0.7661030851849482,Correct Identification
Arp_118,Type1,0.0,3.1,4.23748484876355,0.8602820260666348,Correct Identification
Arp_118,Type1,0.0,3.2,5.25125156381371,0.9612246523879371,Correct Identification
Arp_118,Type1,0.0,3.3,5.494731350166042,1.0669103629815915,Correct Identification
Arp_118,Type1,0.0,3.4,5.483526631133149,1.184708161060687,Correct Identification
