lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
1005.0,1.7328899011784057e-07
1015.0,1.7113639223475714e-07
1025.0,1.689837943516737e-07
1035.0,1.6683119646859026e-07
1045.0,1.6467859858550683e-07
1055.0,1.625260007024234e-07
1065.0,1.6037340281933992e-07
1075.0,1.582208049362565e-07
1085.0,1.5606820705317305e-07
1095.0,1.5391560917008961e-07
1096.4782,1.5359741215101222e-07
1105.0,1.5208886436501012e-07
1115.0,1.5031864236261383e-07
1125.0,1.4854842036021752e-07
1135.0,1.467781983578212e-07
1145.0,1.450079763554249e-07
1155.0,1.4323775435302857e-07
1165.0,1.4146753235063226e-07
1175.0,1.3969731034823597e-07
1185.0,1.3792708834583965e-07
1195.0,1.3615686634344334e-07
1205.0,1.3438664434104702e-07
1215.0,1.326164223386507e-07
1225.0,1.3084620033625441e-07
1235.0,1.290759783338581e-07
1245.0,1.2730575633146178e-07
1255.0,1.2553553432906547e-07
1258.92541,1.248406496140228e-07
1265.0,1.2407759971228801e-07
1275.0,1.2282146571520376e-07
1285.0,1.2156533171811948e-07
1295.0,1.2030919772103523e-07
1305.0,1.1905306372395096e-07
1315.0,1.1779692972686671e-07
1325.0,1.1654079572978245e-07
1335.0,1.152846617326982e-07
1345.0,1.1402852773561393e-07
1355.0,1.1277239373852968e-07
1365.0,1.1151625974144541e-07
1375.0,1.1026012574436116e-07
1385.0,1.0900399174727689e-07
1395.0,1.0774785775019263e-07
1405.0,1.0649172375310837e-07
1415.0,1.0523558975602412e-07
1425.0,1.0397945575893986e-07
1435.0,1.0272332176185559e-07
1442.0,1.0184402796389661e-07
1445.43977,1.0141194675998157e-07
1447.0,1.0127595897339425e-07
1455.0,1.0057868851154021e-07
1465.0,9.970710043422268e-08
1475.0,9.883551235690513e-08
1485.0,9.796392427958758e-08
1495.0,9.709233620227005e-08
1505.0,9.62207481249525e-08
1512.0,9.561063647083022e-08
1517.0,9.517484243217144e-08
1525.0,9.447757197031741e-08
1535.0,9.360598389299987e-08
1545.0,9.273439581568232e-08
1555.0,9.186280773836478e-08
1565.0,9.099121966104723e-08
1575.0,9.01196315837297e-08
1585.0,8.924804350641215e-08
1595.0,8.83764554290946e-08
1605.0,8.750486735177707e-08
1615.0,8.663327927445952e-08
1625.0,8.576169119714198e-08
1635.0,8.489010311982443e-08
1645.0,8.401851504250689e-08
1655.0,8.314692696518935e-08
1659.58691,8.274713735841649e-08
1665.0,8.24154435034891e-08
1672.0,8.198650975502165e-08
1677.0,8.168012850611632e-08
1685.0,8.11899185078678e-08
1695.0,8.057715601005714e-08
1705.0,7.99643935122465e-08
1715.0,7.935163101443584e-08
1725.0,7.873886851662519e-08
1735.0,7.812610601881454e-08
1745.0,7.75133435210039e-08
1755.0,7.690058102319325e-08
1765.0,7.62878185253826e-08
1775.0,7.567505602757195e-08
1785.0,7.50622935297613e-08
1795.0,7.444953103195065e-08
1805.0,7.383676853414e-08
1815.0,7.322400603632935e-08
1825.0,7.26112435385187e-08
1835.0,7.199848104070805e-08
1845.0,7.13857185428974e-08
1855.0,7.077295604508675e-08
1865.0,7.01601935472761e-08
1875.0,6.954743104946545e-08
1885.0,6.89346685516548e-08
1895.0,6.832190605384415e-08
1905.0,6.77091435560335e-08
1905.46072,6.768091236223436e-08
1915.0,6.725432453201504e-08
1925.0,6.680713372702838e-08
1935.0,6.635994292204172e-08
1945.0,6.591275211705506e-08
1955.0,6.54655613120684e-08
1967.0,6.492893234608439e-08
1976.0,6.45264606215964e-08
1984.0,6.416870797760707e-08
1995.0,6.367679809212175e-08
2005.0,6.322960728713507e-08
2015.0,6.278241648214841e-08
2025.0,6.233522567716175e-08
2035.0,6.188803487217509e-08
2045.0,6.144084406718842e-08
2055.0,6.099365326220176e-08
2065.0,6.05464624572151e-08
2074.0,6.01439907327271e-08
2078.0,5.996511441073243e-08
2085.0,5.965208084724178e-08
2095.0,5.920489004225511e-08
2105.0,5.875769923726844e-08
